Country,Severity,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Australia,Health,0.11664390033253418,0.09916173676932417,NA,NA,NA,NA
Australia,Stage_III_IVT1_2,0.2922160302888713,0.23493384148030425,0.13365065549301272,0.10040214013333935,0.09318572864186553,0.09508383797169546
Australia,Stage_IVT3,0.0823276848119077,0.11600259495169543,0.022371058151380234,0.02946805233547482,0.039523062161565745,0.05986783596282131
Australia,Stage_IVT4,0.11544519600533437,0.18037533262586172,0.025060348715178996,0.0340540760780995,0.06463091198075574,0.10576262837051392
Australia,Stage_I_II,0.20924082771899113,0.16509867970444667,NA,NA,NA,NA
Botswana,Health,0.005677347120090052,0.0048335141180942745,NA,NA,NA,NA
Botswana,Stage_III_IVT1_2,0.002459108464999313,0.001978875602460196,0.0012513083238140153,9.695553659034647e-4,6.039701297407837e-4,6.375484702716564e-4
Botswana,Stage_IVT3,5.922771284917035e-4,8.462064682254026e-4,2.009190626688594e-4,2.68738659372333e-4,2.55865127919825e-4,4.0436168054691895e-4
Botswana,Stage_IVT4,8.736160657816065e-4,0.0013223037037329594,2.246934917317643e-4,3.0321583221147016e-4,4.929843718798179e-4,8.033100715955976e-4
Botswana,Stage_I_II,0.011138740545006109,0.008801015843516714,NA,NA,NA,NA
Brazil,Health,0.38683977188102525,0.3174979020446037,NA,NA,NA,NA
Brazil,Stage_III_IVT1_2,0.49038462963554785,0.39257879588682326,0.2586554051236286,0.20125586023294864,0.10800152527763454,0.11291966642526835
Brazil,Stage_IVT3,0.12982838011176062,0.1826684737603275,0.04235732648154388,0.05623585626084288,0.047789203312101694,0.07447871117680228
Brazil,Stage_IVT4,0.16817331849970577,0.2674541915600059,0.04765797494277954,0.06762149620325883,0.06939493980634061,0.11536018951681261
Brazil,Stage_I_II,0.7780544562025793,0.6055939216498484,NA,NA,NA,NA
Canada,Health,0.14113176482106457,0.1298523918085824,NA,NA,NA,NA
Canada,Stage_III_IVT1_2,0.5018910565226937,0.41363693707813154,0.19235571839002102,0.14190467410505248,0.16653332285478314,0.16932055259974968
Canada,Stage_IVT3,0.14930139287818534,0.2146414800883394,0.0344114037548858,0.044869756649079884,0.06883652790112149,0.1042518596438054
Canada,Stage_IVT4,0.1862137138303034,0.2914787926687331,0.037143258401202674,0.05049569218151932,0.09125389970224018,0.14738898455904423
Canada,Stage_I_II,0.22469340078299666,0.1933295821076894,NA,NA,NA,NA
Chile,Health,0.04747250123275115,0.040633690728894986,NA,NA,NA,NA
Chile,Stage_III_IVT1_2,0.13415054584072295,0.10769089940542068,0.07294709136739719,0.05903803428991829,0.02957904901028165,0.0316423677359104
Chile,Stage_IVT3,0.03596574653055837,0.05132413049041607,0.011866618494570406,0.016037457510734935,0.012990320608556913,0.0203381222561646
Chile,Stage_IVT4,0.047804898295439796,0.07552495141065399,0.013137722211619752,0.0186446276229526,0.020785165344745428,0.03541337956226485
Chile,Stage_I_II,0.0943844371288796,0.0759320754471639,NA,NA,NA,NA
China,Health,0.6329491414423044,0.5454722668183155,NA,NA,NA,NA
China,Stage_III_IVT1_2,2.011072022775546,1.7318484802039698,0.8082669440600774,0.6507238950579212,0.9367562907231437,0.9564815908089257
China,Stage_IVT3,0.6078626939459969,0.8812156704279557,0.1410430393691822,0.1851253791854195,0.3838392226632176,0.5931705330282273
China,Stage_IVT4,0.6993000159459756,1.101181817886927,0.16311135305094449,0.2334597389886357,0.4329818797926959,0.7153252366648338
China,Stage_I_II,1.1259146984292647,0.9397505507604292,NA,NA,NA,NA
France,Health,0.16120451567498506,0.14039471176470122,NA,NA,NA,NA
France,Stage_III_IVT1_2,0.3242910417278484,0.2720487949514118,0.13130622607991738,0.10050759675327334,0.12370779712771215,0.12701246523475093
France,Stage_IVT3,0.09452334237201107,0.13692326829513599,0.022818594476556146,0.03010267782856764,0.05330788063043709,0.08142947517463506
France,Stage_IVT4,0.1310674348979946,0.20601368728585645,0.02533785908781164,0.03446147053281647,0.08374700156813031,0.13689602762230518
France,Stage_I_II,0.27394411016252335,0.21749032381491085,NA,NA,NA,NA
Germany,Health,0.3060427026045074,0.2690319607267622,NA,NA,NA,NA
