Country,Severity,selected_Mean_total_billions,selected_SD_total_billions
Afghanistan,Health,7.803657284958602e-4,0.01246067108044868
Afghanistan,Stage_III_IVT1_2,0.00264242216468352,0.0210262282051532
Afghanistan,Stage_IVT3,5.72526827861648e-4,0.00686614989680955
Afghanistan,Stage_IVT4,8.852907924745692e-4,0.0079201783194428
Afghanistan,Stage_I_II,0.00110816604116078,0.01428006610039213
Albania,Health,4.299941508479034e-4,0.00172689656719045
Albania,Stage_III_IVT1_2,4.4999915268974217e-4,0.00173720727699832
Albania,Stage_IVT3,1.2257564100335964e-4,8.767857744635215e-4
Albania,Stage_IVT4,1.6742177333659722e-4,9.98994100017008e-4
Albania,Stage_I_II,4.411703055770451e-4,0.00176021162859769
Algeria,Health,0.00695626407863238,0.03003837578813945
Algeria,Stage_III_IVT1_2,0.00745463754943304,0.03460670308758785
Algeria,Stage_IVT3,0.00174658649050451,0.01154162224746744
Algeria,Stage_IVT4,0.00232039041158132,0.01684624023257552
Algeria,Stage_I_II,0.00698723306351412,0.03088928345526141
Andorra,Health,4.445835930752339e-4,4.6262299090318073e-4
Andorra,Stage_III_IVT1_2,6.850619078185371e-4,8.184645187138973e-4
Andorra,Stage_IVT3,2.0407454790438343e-4,4.0624517971257e-4
Andorra,Stage_IVT4,2.2705776067642803e-4,4.34574551492146e-4
Andorra,Stage_I_II,5.371550680836676e-4,5.827337409734982e-4
Angola,Health,0.0030814583316437,0.01762790293962222
Angola,Stage_III_IVT1_2,0.00289821077766952,0.01684610840383452
Angola,Stage_IVT3,6.510693239110174e-4,0.00474262257161408
Angola,Stage_IVT4,7.439548385913456e-4,0.00573297679595543
Angola,Stage_I_II,0.003715966880876,0.02147040385534519
Antigua and Barbuda,Health,2.69274155747625e-4,3.160487091971727e-4
Antigua and Barbuda,Stage_III_IVT1_2,2.736273317022549e-4,3.5439456833894915e-4
Antigua and Barbuda,Stage_IVT3,8.050391027940426e-5,1.7035162535262652e-4
Antigua and Barbuda,Stage_IVT4,9.796654964559263e-5,2.075612916477528e-4
Antigua and Barbuda,Stage_I_II,3.174138179683563e-4,3.678975329673684e-4
Argentina,Health,0.1402601138698405,0.167750196215201
Argentina,Stage_III_IVT1_2,0.10074712566086858,0.1354574703426709
Argentina,Stage_IVT3,0.02822486322261524,0.05860583499186622
Argentina,Stage_IVT4,0.03475563113836062,0.07127419347965436
Argentina,Stage_I_II,0.16979143388499696,0.20287188656475216
Armenia,Health,0.00530171178998243,0.00741381183998814
Armenia,Stage_III_IVT1_2,0.01478666097636705,0.02007746485434382
Armenia,Stage_IVT3,0.00426497844390354,0.00973289917218897
Armenia,Stage_IVT4,0.00519684424359338,0.01155285526204629
Armenia,Stage_I_II,0.00639847517901812,0.00848771204830704
Australia,Health,0.8013370019715738,0.4101205011952583
Australia,Stage_III_IVT1_2,1.9040317720658817,0.6628777976654414
Australia,Stage_IVT3,0.4207279035961991,0.4529454994555632
Australia,Stage_IVT4,0.5509463482184729,0.6091104915328801
Australia,Stage_I_II,0.8858465171917966,0.4561182843681986
Austria,Health,0.1853895825135673,0.1097928611856364
Austria,Stage_III_IVT1_2,0.6136200276478522,0.27129983843602606
Austria,Stage_IVT3,0.1355255157203724,0.15146509284062604
Austria,Stage_IVT4,0.16747795740836183,0.19952592584676176
Austria,Stage_I_II,0.20637457555973215,0.12054938728848588
Azerbaijan,Health,0.00218782310517815,0.00863828677415248
Azerbaijan,Stage_III_IVT1_2,0.00183985315498247,0.00783201502918141
Azerbaijan,Stage_IVT3,4.297064006183645e-4,0.00253165464169697
Azerbaijan,Stage_IVT4,6.110593904283827e-4,0.00330118880215596
Azerbaijan,Stage_I_II,0.00222053301812686,0.00927802755273326
Bahamas,Health,0.00617061121511514,0.00420938529584742
Bahamas,Stage_III_IVT1_2,0.00173399696737868,9.753195232914625e-4
Bahamas,Stage_IVT3,3.816032821024088e-4,4.601804315668606e-4
Bahamas,Stage_IVT4,4.772049880621576e-4,5.96583996847522e-4
Bahamas,Stage_I_II,0.00697237186889466,0.00465129284062572
Bahrain,Health,5.832064213644206e-4,0.00203402272796563
Bahrain,Stage_III_IVT1_2,9.695148089852768e-4,0.00358181527541677
Bahrain,Stage_IVT3,2.3893076602722512e-4,0.00117919891115896
Bahrain,Stage_IVT4,3.1069298253905424e-4,0.00147813310535749
Bahrain,Stage_I_II,5.974968517808218e-4,0.00199957623072713
Bangladesh,Health,0.01702967916817851,0.08581083545675829
Bangladesh,Stage_III_IVT1_2,0.01051962105793039,0.06153493443781526
Bangladesh,Stage_IVT3,0.00186799371175046,0.01413560353248878
Bangladesh,Stage_IVT4,0.00347750075918758,0.02919294418815683
