Country,Mean_total_billions_high,SD_total_billions_high,Mean_perio_billions_high,SD_perio_billions_high,Mean_replace_billions_high,SD_replace_billions_high,Mean_total_billions_mid,SD_total_billions_mid,Mean_perio_billions_mid,SD_perio_billions_mid,Mean_replace_billions_mid,SD_replace_billions_mid,Mean_total_billions_low,SD_total_billions_low,Mean_perio_billions_low,SD_perio_billions_low,Mean_replace_billions_low,SD_replace_billions_low,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,selected_model,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions
Afghanistan,0.7647370801983749,0.6947303453209038,0.3690273990716077,0.4969734206845465,0.24521035513911432,0.3404224811523532,0.1341801530362487,0.1908424234502404,0.03207054171071875,0.07951749189501098,0.05979294039787347,0.12445095936028172,0.00598877155467638,0.03017117501144837,0.00238688296244959,0.01505800017313232,7.823345157620038e-4,0.00813855058135877,0.0167,0.46,2144.16657,low,0.00598877155467638,0.03017117501144837,0.00238688296244959,0.01505800017313232,7.823345157620038e-4,0.00813855058135877
Albania,0.14041934179069923,0.05612198876496799,0.05301829260296434,0.03667202997184939,0.03127792727193795,0.02786537959348178,0.02733575852078745,0.01990925899019427,0.00541928977045382,0.00688589954049268,0.00766035266538529,0.01072093846644645,0.00161116102345464,0.00334330377102896,3.753836184761259e-4,0.00135481357702879,1.2339410589057648e-4,5.605301613735165e-4,0.0363,12.66,16126.77749,low,0.00161116102345464,0.00334330377102896,3.753836184761259e-4,0.00135481357702879,1.2339410589057648e-4,5.605301613735165e-4
Algeria,2.0953972816120494,0.9003180474562154,0.7603831539085468,0.5584385550450792,0.45405828487460315,0.4159716375985018,0.4214615223297946,0.3012304856064376,0.08095981260336486,0.10258823184000668,0.1161485307339732,0.16178547065404167,0.02546511159366538,0.05982275435895447,0.00603177413231407,0.02561221836845802,0.00191421334834889,0.00807846583346778,0.3237,7.46,14496.86547,low,0.02546511159366538,0.05982275435895447,0.00603177413231407,0.02561221836845802,0.00191421334834889,0.00807846583346778
Andorra,0.01033223819801217,0.00264853380584694,0.003467481029619,0.00134000158848705,0.00190117008290135,0.00120392514162291,0.00209793287755825,0.00122133919525823,3.911757551972859e-4,3.4425354148205287e-4,4.7719240378567854e-4,5.310416557066583e-4,1.2998558409027744e-4,2.3066522123219244e-4,2.608300389086439e-5,8.026909272710905e-5,8.508237636401746e-6,2.8931553228948073e-5,0.0146,189.89,59332.20291,mid,0.00209793287755825,0.00122133919525823,3.911757551972859e-4,3.4425354148205287e-4,4.7719240378567854e-4,5.310416557066583e-4
Angola,0.8924445694692479,0.5043877808720104,0.3106379801272943,0.29889578694296753,0.1915357689321038,0.21145085497078195,0.18178859186167365,0.15921919054105232,0.02969022017714515,0.04779839684601118,0.04766926668505197,0.07843143218595229,0.0110906601526916,0.03365439123832638,0.00254535804889266,0.01421510870763148,6.644345379854668e-4,0.00371366001798536,0.0702,2.33,7408.126591,low,0.0110906601526916,0.03365439123832638,0.00254535804889266,0.01421510870763148,6.644345379854668e-4,0.00371366001798536
Antigua and Barbuda,0.00493116612898339,0.00158082496645672,0.00140598714463171,8.029372259733156e-4,8.111785811028451e-4,6.477380707196177e-4,0.00103878576534323,6.325238705711258e-4,1.5386912604117354e-4,1.661563708784331e-4,2.013132666871686e-4,2.526528277637012e-4,6.646911810873368e-5,1.3330795434709862e-4,1.0056239620103089e-5,3.5004982423403315e-5,3.4931107091988938e-6,1.4520327200136245e-5,0.0048,51.88,25745.49581,mid,0.00103878576534323,6.325238705711258e-4,1.5386912604117354e-4,1.661563708784331e-4,2.013132666871686e-4,2.526528277637012e-4
Argentina,2.2042864713514883,0.7145095502056724,0.5133218823281136,0.2846331481586742,0.295258673362014,0.22444361404079455,0.4737791677766819,0.2997694723627164,0.05713375844326826,0.06557133208022091,0.0724440519989502,0.09062553524171368,0.03364930510170838,0.07155071024724764,0.0037484842644351,0.01121185278031225,0.00130120828736943,0.00445317253323189,1.106,24.55,26300.27426,mid,0.4737791677766819,0.2997694723627164,0.05713375844326826,0.06557133208022091,0.0724440519989502,0.09062553524171368
Armenia,0.18860866807789348,0.0799787989244441,0.07823195906334868,0.05342506385773003,0.04603822228258047,0.04154598853803471,0.03594867063286453,0.0272514446365949,0.00804106356940152,0.00967641923181206,0.01152583744803525,0.01607810475615255,0.00198678438139839,0.00435351519030944,5.246335676755411e-4,0.00197263970355883,1.7763061700301234e-4,7.483374536769563e-4,0.113,38.05,15921.70528,mid,0.03594867063286453,0.0272514446365949,0.00804106356940152,0.00967641923181206,0.01152583744803525,0.01607810475615255
Australia,4.562889543043925,0.9674236021006288,1.595991978439785,0.3504970987228863,0.8147057551165113,0.436933452276505,0.925193733197228,0.510904422597089,0.18066819931974087,0.14366666280372936,0.2024477677783544,0.19956889409009285,0.05663505333355682,0.09664845205223176,0.0120942588920101,0.03370203327927491,0.00350949734058361,0.012480825647734,7.3703,288.25,58182.33695,high,4.562889543043925,0.9674236021006288,1.595991978439785,0.3504970987228863,0.8147057551165113,0.436933452276505
Austria,1.308387658849886,0.3455033663338311,0.5023305713886175,0.18978313629584057,0.26960534452842905,0.17031838663876336,0.26032733542319325,0.16349548513348788,0.05671876191865518,0.05161576605175234,0.06869429163035079,0.07587844915726344,0.01532225231217703,0.02719296727578785,0.00361878102140138,0.01104313414011958,0.00125581899129872,0.00453049647843629,2.1157,236.39,62968.94223,high,1.308387658849886,0.3455033663338311,0.5023305713886175,0.18978313629584057,0.26960534452842905,0.17031838663876336
