Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_perio,5.152190918406381e-4,0.00637606446520829
Afghanistan,Consult_simple,1.778759285463377e-4,0.010596074168032503
Afghanistan,Denture,1.4292762940067406e-5,0.0024139365514207227
Afghanistan,Denture_repair,1.00804839337223e-6,0.001760432070894395
Afghanistan,Extraction,4.859669444946103e-4,0.015320187990440303
Afghanistan,Full_fixed,1.0221088169594641e-4,0.0023490565403567303
Afghanistan,GTR,5.173945571506674e-5,3.221121745582156e-4
Afghanistan,Implant_surgery,2.847956636748065e-4,0.003029515063540892
Afghanistan,Maintenance_perio,0.0024922354059598198,0.017462167736331878
Afghanistan,Maintenance_simp,4.6097142408371255e-4,0.010071496472064232
Afghanistan,OFD,-7.836808862554892e-7,2.522378575626541e-4
Afghanistan,OHI,1.1825082234103361e-5,2.876969479243543e-4
Afghanistan,OPG,1.3663462894955933e-5,2.0880641460354138e-4
Afghanistan,PA,1.7319872589022564e-5,1.8624055160226013e-4
Afghanistan,Prophy,6.423710536702798e-4,0.002288244855109284
Afghanistan,RootDeb,1.3513482838183123e-4,0.006426494746914631
Afghanistan,Single_implant,3.0818459721628e-4,0.002153983002709667
Albania,Consult_perio,7.310085191407072e-5,5.144303099849191e-4
Albania,Consult_simple,1.5755788287350104e-4,0.0010411496205614686
Albania,Denture,2.2018752112703062e-5,1.8880288840205002e-4
Albania,Denture_repair,2.1206339473411482e-5,1.5848430245020352e-4
Albania,Extraction,1.6063933478468323e-4,0.001147683065630697
Albania,Full_fixed,1.7532019580198544e-5,1.7522541912630603e-4
Albania,GTR,4.479104274947739e-6,2.57159258482056e-5
Albania,Implant_surgery,1.90865472665874e-5,1.9212389127988897e-4
Albania,Maintenance_perio,3.0981478785466833e-4,0.0015196091012100502
Albania,Maintenance_simp,2.6859149817812315e-4,0.0013321530911706233
Albania,OFD,1.7244409593254938e-6,1.607543649865593e-5
Albania,OHI,3.309540088105054e-6,2.4000930417201245e-5
Albania,OPG,2.8205822818074834e-6,1.8589603611663637e-5
Albania,PA,3.515997744761593e-6,1.787232239500491e-5
Albania,Prophy,2.0467646505838757e-4,6.683160777021412e-4
Albania,RootDeb,8.385787259766781e-5,5.664079773220992e-4
Albania,Single_implant,3.8823699892850575e-5,1.9718357003400852e-4
Algeria,Consult_perio,0.0010580338719608597,0.0076361970703114
Algeria,Consult_simple,0.00236031484462195,0.017853050578795097
Algeria,Denture,3.1839005595234876e-4,0.0027419330067303582
Algeria,Denture_repair,2.939672012902869e-4,0.002154969180247709
Algeria,Extraction,0.002342022561758652,0.01727870421376616
Algeria,Full_fixed,2.47791747465363e-4,0.0026179639794291767
Algeria,GTR,6.889991068127977e-5,3.9074315037888955e-4
Algeria,Implant_surgery,3.256769682761532e-4,0.00307937752402104
Algeria,Maintenance_perio,0.004630324310251646,0.022822188909380727
Algeria,Maintenance_simp,0.004492067049193047,0.021326889572233422
Algeria,OFD,2.417735553501813e-5,2.2930182933771946e-4
Algeria,OHI,5.673897461438389e-5,3.853569512636417e-4
Algeria,OPG,5.168277161846537e-5,3.5849356623216384e-4
Algeria,PA,5.2131310404129225e-5,2.9162951304738166e-4
Algeria,Prophy,0.0034095724395217975,0.011075147812441502
Algeria,RootDeb,0.0011784233029805734,0.00844946398189788
Algeria,Single_implant,5.698577200541733e-4,0.002864373614732387
Andorra,Consult_perio,5.292086482387642e-6,2.3597078127209957e-5
Andorra,Consult_simple,1.431974026297707e-5,5.481188547236523e-5
Andorra,Denture,2.068386696159808e-6,8.673308005815793e-6
Andorra,Denture_repair,2.0413348283445022e-6,8.182746599266682e-6
Andorra,Extraction,1.3738843254388306e-5,5.840461478628645e-5
Andorra,Full_fixed,1.299741444648014e-6,9.831966848564797e-6
Andorra,GTR,2.011868832610526e-7,9.278004386917604e-7
Andorra,Implant_surgery,6.968470469147566e-7,6.632979240313067e-6
Andorra,Maintenance_perio,1.883239320442378e-5,7.507775117103335e-5
Andorra,Maintenance_simp,2.5000261648562762e-5,9.833635170154828e-5
Andorra,OFD,1.801331750531464e-7,9.017231533138677e-7
Andorra,OHI,2.8541955945753486e-7,1.212888747571593e-6
Andorra,OPG,2.3045044209995597e-7,9.031218958376462e-7
Andorra,PA,2.501938573554137e-7,8.583335696778506e-7
Andorra,Prophy,1.7607132701212367e-5,5.744647499593057e-5
Andorra,RootDeb,7.453752056085232e-6,3.1100421314782965e-5
Andorra,Single_implant,2.2234066696341296e-6,9.077914860924704e-6
Angola,Consult_perio,4.285479129645915e-4,0.003823872487601524
Angola,Consult_simple,9.610710843539382e-4,0.012888807597119951
Angola,Denture,7.814333204577179e-5,0.0013490595564612624
Angola,Denture_repair,8.017228115549556e-5,0.0010623741690070562
Angola,Extraction,6.699543556142951e-4,0.008096782618806704
Angola,Full_fixed,9.343640028389368e-5,0.0013721972824128506
Angola,GTR,3.284364246932801e-5,1.907977954410017e-4
Angola,Implant_surgery,1.6387719175422924e-4,0.0017176444441988781
Angola,Maintenance_perio,0.0018654566930612554,0.010172283818192377
Angola,Maintenance_simp,0.0020116952673186676,0.013383186742365659
