Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Afghanistan,0.00598877155467638,0.03017117501144837,0.00238688296244959,0.01505800017313232,7.823345157620038e-4,0.00813855058135877,low,0.0167,0.46,2144.16657
Albania,0.00161116102345464,0.00334330377102896,3.753836184761259e-4,0.00135481357702879,1.2339410589057648e-4,5.605301613735165e-4,low,0.0363,12.66,16126.77749
Algeria,0.02546511159366538,0.05982275435895447,0.00603177413231407,0.02561221836845802,0.00191421334834889,0.00807846583346778,low,0.3237,7.46,14496.86547
Andorra,0.00209793287755825,0.00122133919525823,3.911757551972859e-4,3.4425354148205287e-4,4.7719240378567854e-4,5.310416557066583e-4,mid,0.0146,189.89,59332.20291
Angola,0.0110906601526916,0.03365439123832638,0.00254535804889266,0.01421510870763148,6.644345379854668e-4,0.00371366001798536,low,0.0702,2.33,7408.126591
Antigua and Barbuda,0.00103878576534323,6.325238705711258e-4,1.5386912604117354e-4,1.661563708784331e-4,2.013132666871686e-4,2.526528277637012e-4,mid,0.0048,51.88,25745.49581
Argentina,0.4737791677766819,0.2997694723627164,0.05713375844326826,0.06557133208022091,0.0724440519989502,0.09062553524171368,mid,1.106,24.55,26300.27426
Armenia,0.03594867063286453,0.0272514446365949,0.00804106356940152,0.00967641923181206,0.01152583744803525,0.01607810475615255,mid,0.113,38.05,15921.70528
Australia,4.562889543043925,0.9674236021006288,1.595991978439785,0.3504970987228863,0.8147057551165113,0.436933452276505,high,7.3703,288.25,58182.33695
Austria,1.308387658849886,0.3455033663338311,0.5023305713886175,0.18978313629584057,0.26960534452842905,0.17031838663876336,high,2.1157,236.39,62968.94223
Azerbaijan,0.00728897506933423,0.0157840279166926,0.00153402715941251,0.00619640351632113,4.7051215949203625e-4,0.00178382546844486,low,0.1268,12.61,20111.3757
Bahamas,0.01573578832155305,0.00568231703944874,0.0014025103144919,7.444251991511467e-4,8.030409537924568e-4,5.967381970679417e-4,high,0.0329,75.3,31064.68222
Bahrain,0.00269984183069679,0.00500725953105329,7.31775527730439e-4,0.00220698982463624,2.3894509189307272e-4,8.297631464766701e-4,low,0.0625,41.36,54954.67579
Bangladesh,0.05028878419776056,0.14137317147410225,0.00869038799563872,0.05167703400399743,0.00306071025764187,0.01978225979761567,low,0.0125,0.08,7441.06914
Barbados,0.00309644269561818,0.00230234018524569,6.07607189311081e-4,7.58304721523003e-4,8.97725930997983e-4,0.00130757678105084,mid,0.0152,52.8,15683.88471
Belarus,0.00880242160277849,0.01775439689116013,0.0020337633540223,0.00685442677248386,6.993112011867817e-4,0.00281561919986971,low,0.1371,14.47,27611.18011
Belgium,1.3156370866085787,0.3340700340295955,0.4299957564668905,0.16465243508321345,0.23438093485630543,0.14969232885629066,high,2.1221,185.2,60669.21377
Belize,0.0024375221410827,0.00191563332935856,2.385790020987995e-4,3.2688830479585306e-4,3.566479349669275e-4,5.559811745342489e-4,mid,0.0057,14.08,11677.46101
Benin,0.00397367278464799,0.01740088765515573,0.0014588977017134,0.00901103927201343,5.585409650033126e-4,0.00376084554741964,low,0.0033,0.28,3464.288629
Bhutan,3.84221181962932e-4,8.453796417693533e-4,7.609269571030511e-5,3.1025156004293867e-4,2.409581333568181e-5,1.1219166737941922e-4,low,0,0.06,13458.81267
Bolivia,0.00515155958810397,0.01347383663566887,0.00118609033267213,0.00563432882013775,3.974661921298192e-4,0.00199452103467267,low,0.0482,4.17,9454.198147
Bosnia and Herzegovina,0.03263245511095271,0.02302206276353338,0.00576677140849555,0.00699731915147954,0.00830605219874785,0.01160261868683796,mid,0.0727,20.75,18285.67112
Botswana,0.02624232977612394,0.01574938625910657,0.00170872231528656,0.00144800484347806,0.00139361539005433,0.00144254823054504,mid,0.0574,24.15,17960.62544
Brazil,2.425874875092575,1.3012948752336004,0.3487207174297142,0.2907569095717989,0.23224666288076548,0.2279406851056841,mid,3.7128,17.68,18075.706
