Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.27273423308628325,0.5378812674721815,0.05171585053451269,0.07817715407419205,0.03818527753102375,0.06301641271599338
Albania,0.12176649190808476,0.050032807145992286,0.024275686783879466,0.0193146784517594,0.015868461830012524,0.01734124281866497
Algeria,2.064212587980117,0.8518342651932885,0.38601634633730497,0.3139548772925174,0.24746874260594964,0.27177176269861164
American Samoa,0.002368177818534985,0.0010267582010362575,4.798990963895166e-4,3.7282819112201396e-4,3.12971460398845e-4,3.4615415885882696e-4
Andorra,0.009981408514668623,0.002716137283887667,0.0019985021871281295,0.0010769864658974494,0.0012185142207653595,0.0010267002710696539
Angola,0.8138245843819631,0.5855759109865115,0.11659128061506434,0.12987830740058917,0.07918718294725828,0.10440397322675923
Antigua and Barbuda,0.0066340736986364906,0.0022891576748065006,0.0016065643699740347,0.0010656739384643174,0.001022120529069807,9.837541592036085e-4
Argentina,2.8175015837804436,0.9920039294129251,0.5505762964564178,0.3725541675486441,0.3703722796032744,0.3621061662823286
Armenia,0.13165159061338855,0.05647122523430376,0.02575221453493779,0.020832811920100256,0.016095994574773793,0.01645896002625994
Australia,4.475724186080996,0.9603402859033661,0.8690470095546315,0.31678308227083146,0.49158043935309365,0.3581768888849525
Austria,1.0164572304406276,0.26635761911322936,0.18203063743603898,0.09465135621722685,0.11116116151187752,0.09338475482326491
Azerbaijan,0.5672304363124365,0.21114284889758142,0.1044122585593544,0.07784088713340041,0.06547655638951869,0.06953240953953604
Bahamas,0.03558351104474075,0.011279922025067987,0.008055145441113137,0.0048547285596783046,0.0051398440776678975,0.005110851399197586
Bahrain,0.19056421064906892,0.04900005846950343,0.036379979568970905,0.01844444531715426,0.02237751253348716,0.01856337866889563
Bangladesh,5.185939481149473,3.389691931419357,1.5207163758794058,1.7473811418633023,1.0701504034278988,1.479940536287329
Barbados,0.01645332918007495,0.00686269099749051,0.004344583419389185,0.0033202933982046995,0.002848358855175402,0.003128150548952465
Belarus,0.6051722508111509,0.21562688431301444,0.13063565880940026,0.09068967803171137,0.08576549519156737,0.08692905910752272
Belgium,1.4219686106742757,0.4132662519221729,0.35269380180048543,0.17934337469304668,0.2139034688740268,0.17885584530380685
Belize,0.015536711577047434,0.007797046644217777,0.0032348989610856455,0.0030708565334988977,0.002229644259305416,0.0027800407864718795
Benin,0.2543874010378861,0.24222088727896773,0.06225307837313721,0.08246082817382128,0.045967017843263035,0.06557221234384016
Bermuda,0.011830516048035396,0.0034282179658021886,0.003318159048104133,0.0015225580455563447,0.00199126096859613,0.00152461059635311
Bhutan,0.03643211533047811,0.01772779097170713,0.009951653375113858,0.009452877501117948,0.006679695591478718,0.007823576441663468
Bolivia (Plurinational State of),0.3418457441973896,0.19855036806848195,0.068205155394540265,0.0665266526522344,0.04679524899164177,0.06205383653617447
Bosnia and Herzegovina,0.15627072111798618,0.06314950123712848,0.03278938097462072,0.024772518095051155,0.02167118681428362,0.024005738627349248
Botswana,0.16596854436957556,0.03958019624166919,0.008169131187065444,0.003644199722726239,0.0033203222439073168,0.0024418134123230036
Brazil,14.372810266541597,2.9175921963222646,1.6681524498646285,0.7140278696971085,0.559890276994472,0.40086147111645687
Brunei Darussalam,0.06958539882425097,0.016885898994793137,0.008583399497846344,0.004148663210480124,0.0051160686426753995,0.0039450485580921546
Bulgaria,0.4264114877975152,0.13877616593622988,0.07499017332405417,0.04837589723171673,0.048685038948936,0.047740975696810045
Burkina Faso,0.38725404071645986,0.40009018003138574,0.11994173858330008,0.16635111602011607,0.0919914908182136,0.1425590451721674
Burundi,0.06861724803412617,0.18610445011253293,0.019841126006847006,0.032767546907632734,0.016625192118091343,0.028342653467550383
Cabo Verde,0.022027680620113746,0.013017470649990941,0.007391330260189993,0.007490912037116677,0.005123204471313482,0.006595774826930912
Cambodia,0.3447526422471819,0.28489083427054634,0.06899248828406399,0.08179069528466444,0.050118820939752985,0.0719222117600906
Cameroon,0.7174046441821939,0.567687849948547,0.22045900753617548,0.2673619428797779,0.1587021542201782,0.2212695661230246
Canada,5.244968880260505,1.3783049018185394,1.246070822266335,0.47219050684495767,0.8090165211547903,0.5567031541154039
Central African Republic,0.028011495234167526,0.04086770990425202,0.008311061058916868,0.015612849032704337,0.007014369131425995,0.012421693984607518
Chad,0.20781737725993282,0.2564097774010692,0.059424792613948674,0.09415060676244642,0.04572072214585579,0.0755407993939759
Chile,2.0899247217879307,0.4865703290033859,0.4604477106511351,0.20091295337577908,0.15829804298149908,0.12028043009933746
China,26.484028044509582,6.700809625992465,4.711028828900864,1.9834499268180574,4.482017262199347,3.1041524569615406
Colombia,2.6235107007617984,1.0186300205056489,0.6164273022425149,0.45702848513893485,0.4017549436022047,0.4194436568422938
Comoros,0.011398251680475483,0.0131625532451256,0.0025989658923361893,0.0037014528185865953,0.0019671182493325593,0.0032665856739734836
Congo,0.11513510353549788,0.09462692919171109,0.021733059940036784,0.02538164720386482,0.01576567406932919,0.020817070341098625
Cook Islands,9.316663571680922e-4,3.4369088154192644e-4,7.091874065831097e-5,5.076158612134628e-5,4.688141844306955e-5,4.838283741147479e-5
Costa Rica,0.2937263688944077,0.10620218426222795,0.0676789374797424,0.04827065610758217,0.04312821442092515,0.043591514311131035
Croatia,0.35575312477590965,0.11798008714116319,0.08755648397214166,0.055388928888345346,0.053608605656515436,0.049289402491597065
Cuba,0.4387282561430193,0.23924880379699826,0.1264384451867662,0.1213878768603154,0.08329060642476138,0.10379751114972117
Cyprus,0.12167415585311794,0.03447853881850571,0.02015936786757788,0.01153151369546155,0.01280420139092503,0.011491407259252014
Czechia,0.9920147991225308,0.27582985966477336,0.2063420437344484,0.11479219429863897,0.12504578113830417,0.10747650600585992
Côte d'Ivoire,0.7492703351517593,0.521682713482893,0.17847133616259694,0.1952098554813512,0.12988565672789332,0.19764379526404802
Democratic People's Republic of Korea,0.26745559821563303,0.3976312725152705,0.07629332719350523,0.12094385932508935,0.06084446059696265,0.10267930029231903
Democratic Republic of the Congo,0.5369452250868879,1.0927926718054335,0.1421211026732237,0.24593260646935253,0.11692831836044933,0.20763454868208078
Denmark,0.8925943850860991,0.2677530626185623,0.2595485091888834,0.1264150709532284,0.1572348034062979,0.12313096826360825
Djibouti,0.03266741118941332,0.021997923341529366,0.0061515479888007395,0.007475482034611784,0.004299647635645111,0.005568191060024047
Dominica,0.0027612038268778434,0.0013254086476159371,6.916414910505013e-4,6.061215465510682e-4,4.736069405468511e-4,5.25949718396063e-4
Dominican Republic,0.668643241721609,0.24579719239438402,0.13726923568870367,0.09908380874834709,0.08951086558846723,0.09585491572540762
Ecuador,0.687269042238738,0.32452634625022964,0.1353201330040499,0.11941175185324443,0.09231546168494019,0.10316111692009115
Egypt,4.572213250462473,1.985444588308385,0.7413562486651775,0.6263398461012778,0.4841877482289517,0.5660387175217593
El Salvador,0.2333017702817731,0.12008296964150451,0.05059615199194687,0.04763960226309172,0.03518943104405864,0.04506157192432276
Equatorial Guinea,0.08760352175151652,0.03111363769827929,0.01186700931315938,0.008234756711321973,0.0077382493131714835,0.007774719610099748
Eritrea,0.06908240449297359,0.12349725136973763,0.016084758845211954,0.02565681905972118,0.011604544488741729,0.01951157948538276
Estonia,0.12798408286829302,0.036283169609281095,0.027795855297002868,0.015132301454507087,0.0172279197109938,0.014482531176235209
Eswatini,0.03578025663562471,0.02037111409218252,0.00328992086276512,0.003087022899284008,0.0022380506398510863,0.0028627110685020586
Ethiopia,1.7829036966785232,1.7347659199646661,0.49160054423229,0.6573340799323004,0.3683073703276752,0.5830960114623026
Fiji,0.026967951884749854,0.016211682303367832,0.0014590543063642022,0.0013213247221162375,9.894523640181204e-4,0.0012747865203797603
Finland,0.6429328372053339,0.18304003295770446,0.15077817446808411,0.07735533873766375,0.09354663704084225,0.07864657837132366
France,5.781087253930925,1.3393196069167148,0.8556184511009745,0.3277989864347175,0.6599303009763953,0.4781170157840999
Gabon,0.09535521458195201,0.03597912249456037,0.014999164115127802,0.011319258687894955,0.009802706196582056,0.009899460347216674
Gambia,0.0464940287307651,0.043972855855340595,0.01620671516664032,0.021673040228553434,0.01188663779839036,0.018938434774397103
Georgia,0.1680566694103257,0.06807409498354376,0.03427439722218454,0.026295380761067827,0.02284917194131609,0.02480636245840744
Germany,13.498887832968727,3.1605095356263124,3.4269220825992814,1.4072889955397616,1.2189100355656157,0.9123536759055916
Ghana,1.1330326500490404,0.7069389098532429,0.33134356956030564,0.36204935790817255,0.22685852056087935,0.30364275530573437
Greece,0.7503567221310762,0.23317599602547723,0.149987160669993,0.09277830376969942,0.09465784139101799,0.08526837208236962
Greenland,0.010241249270339536,0.0025540392353762373,0.0018000852714668725,8.574011192721544e-4,0.0010695503412593095,8.182637125373313e-4
Grenada,0.005285061912924993,0.0021791550421881153,0.0012414432803457746,0.0010086510483208358,7.940301963310069e-4,8.182509424760392e-4
Guam,0.01128759697993769,0.003323017908010319,8.217243739633771e-4,4.903034479931971e-4,5.112985946749072e-4,4.5857249487252233e-4
Guatemala,0.5284228431934225,0.27973201407534637,0.10313260742213019,0.09532488626006698,0.06769677466201715,0.08207206735773698
Guinea,0.24201745330742067,0.24269933293559218,0.07759212003253976,0.11310710740745471,0.0578682842384838,0.10541799491889901
