Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.007040744799171189,0.05939778568115364,0.0012068123505297236,0.006061134545996797,0.0017079324312128728,0.0091974471993707
Albania,0.0026143518790936247,0.005543250687215889,5.562060322657712e-4,0.0020314848432464823,7.17991302154374e-4,0.0026972753753415142
Algeria,0.0458262889374501,0.0978137042799418,0.009382722039236359,0.03129813506748121,0.011304554152394196,0.048514102198066206
American Samoa,5.499429872995879e-5,1.1970094105967311e-4,1.1814679897863748e-5,4.064985765660867e-5,1.568485194370523e-5,5.772119263513256e-5
Andorra,2.3348040008704763e-4,4.6414670845799076e-4,5.1846459367500505e-5,1.3962488910336215e-4,6.57866062132604e-5,2.1012480398367495e-4
Angola,0.015559496270376894,0.03904090314747264,0.0024173101666065213,0.00863583144550515,0.0035813522334229167,0.015089939555994938
Antigua and Barbuda,1.652845257774019e-4,3.542009812487286e-4,4.0373637210754046e-5,1.33290894547383e-4,5.2079200839619255e-5,1.7970679731046127e-4
Argentina,0.061613749796123135,0.12858260497281923,0.013260060630938177,0.039720497756429406,0.018204239268227156,0.07267398886473848
Armenia,0.00307185055787868,0.006847121806379243,6.004515361000214e-4,0.0018706676172088996,8.973312832361816e-4,0.0035878952923879344
Australia,0.10341497702429006,0.18878008216241016,0.023313728009137825,0.05624042457095872,0.0258189194349223,0.07453079681214785
Austria,0.022778757142893527,0.04523074562517664,0.005134140595560326,0.01410251676973987,0.005856415127600058,0.019740566517590638
Azerbaijan,0.012353847277103733,0.029369990034040734,0.0024442039806392437,0.00915114063247052,0.0033988646877953655,0.014677367780527088
Bahamas,8.090395468060658e-4,0.0018081917537712618,1.9144312466774815e-4,5.331513946558524e-4,2.25134664527722e-4,8.857289460794364e-4
Bahrain,0.004345073970208737,0.008305697668659774,9.882342474387374e-4,0.0025665696200640425,0.001149620586611637,0.0034706171245219406
Bangladesh,0.1299625463270688,0.365850953729975,0.03256377735112597,0.13858950825458088,0.04956786585005763,0.25903211020894956
Barbados,4.2210331125614494e-4,0.0010529032088867957,1.1096298055032255e-4,3.9275677172921235e-4,1.4096335706871747e-4,5.561889544035683e-4
Belarus,0.013999018478341412,0.027772515228652005,0.0031886097430719462,0.0092917901116044,0.004084309115504107,0.014007785217883062
Belgium,0.03673483903496129,0.07745234361958524,0.009278346213701777,0.02551508435100321,0.011512853779083305,0.03885791586989459
Belize,3.335102785868095e-4,7.193092228147039e-4,7.484640026146367e-5,2.759944280057677e-4,1.0599064076865257e-4,4.0746665874348683e-4
Benin,0.006120650820667485,0.022738325833755468,0.0013970021394600707,0.010602254831086452,0.0023622195393324234,0.016319077423396954
Bermuda,3.077143762637334e-4,6.738080594113006e-4,8.79161431658684e-5,2.4157088822946698e-4,9.641582024066763e-5,3.179083579811364e-4
Bhutan,9.579428717897611e-4,0.002349818980926223,2.481728463242743e-4,0.0011092322051345603,3.3600023516587607e-4,0.0013709597136754542
Bolivia (Plurinational State of),0.007451782444040201,0.018433912995276403,0.0014265095404171018,0.0051701647916534655,0.0022497012132911254,0.01159764844607499
Bosnia and Herzegovina,0.0036411117606877457,0.008327615220135448,7.71393921557886e-4,0.002383362436398223,0.0011156671884533119,0.004700830395574962
Botswana,0.00270613818014627,0.005746675353029515,2.2577401597564858e-4,5.971409407276172e-4,1.7043781463547925e-4,5.777020507862302e-4
Brazil,0.2408546704410108,0.41733941822936893,0.0430520550875261,0.11409972239238464,0.02615820483813261,0.07936062567267746
Brunei Darussalam,0.0014112627456126898,0.0025721864694053325,2.334811277464041e-4,6.084003605388212e-4,2.6960745768208786e-4,8.463775945886595e-4
Bulgaria,0.009500903949618422,0.020840822630176857,0.0019859180292223677,0.007054369941584847,0.002535511267628677,0.01111194606322473
Burkina Faso,0.010770791331217753,0.0346354412227021,0.0023739672920456267,0.011114846895569004,0.0046103489071113325,0.021546550234700604
Burundi,0.002349378123041804,0.02161337640547254,4.0672495304674413e-4,0.002337223852084998,8.107048745695177e-4,0.004004612994154458
Cabo Verde,5.757316933707672e-4,0.001430965228472815,1.7332575724550756e-4,7.623071615330434e-4,2.0886222861802098e-4,8.755887215897628e-4
Cambodia,0.007687151007859087,0.021990077887066885,0.0015469473139451077,0.008805565374297428,0.002162044629521966,0.010833865932570179
Cameroon,0.019601789192699393,0.06787723742425537,0.0051842638649291055,0.04163932596184813,0.00795054469914675,0.04179012442607678
Canada,0.14803130607694834,0.30212215109859114,0.03173987854386358,0.07725697476136079,0.04150441030756228,0.12316011295978803
Central African Republic,0.0010004056567773075,0.005042235763142445,1.7866247737148878e-4,9.689991593171763e-4,3.923990932394677e-4,0.0020732836388332168
Chad,0.00554528772849221,0.016836701363580796,0.0013605528050455447,0.007262870556439369,0.002520936410341778,0.01268131332936236
Chile,0.04294851600198089,0.0820005746260133,0.01234199409028378,0.034668809309090096,0.007576113852239786,0.02300952165865704
China,0.6632878045998307,1.2852279025180853,0.14311913948346136,0.35868760741308886,0.24269600042099107,0.7059705316118315
Colombia,0.058368498129678766,0.12271827611417119,0.013898767451323867,0.049898424206812245,0.017400313736623003,0.06022432074944537
Comoros,2.557958502228908e-4,6.9670641418652e-4,5.967746054950779e-5,0.00031087039154352166,7.766443805956614e-5,3.147500178810819e-4
Congo,0.0025120358152174857,0.006519728410184033,5.450744842925952e-4,0.0023888764821115922,6.729200529060525e-4,0.002712763984328024
Cook Islands,1.6191641866596808e-5,3.427075298135919e-5,1.910536420990394e-6,6.277858586757998e-6,2.360505665459434e-6,9.656530394380007e-6
Costa Rica,0.006811341264427545,0.013912285962281364,0.0017129234589179961,0.005348091134205979,0.001968268004500755,0.00705418802555417
Croatia,0.00862496478434426,0.017704440314489187,0.002098314921337471,0.005800953663876446,0.0028568331121966097,0.00934044005880247
Cuba,0.011903622734547661,0.029732459285745378,0.0029644716942961898,0.012220935041410436,0.004446753738010172,0.01883524229405822
Cyprus,0.0025300197157932507,0.005411865158176667,4.8424026046947963e-4,0.0013421340776140227,6.426651683771244e-4,0.0025287379801941603
Czechia,0.023526069008885497,0.05188073093881343,0.005526992244202655,0.01657154431454526,0.0062849546196603705,0.022343629382346433
Côte d'Ivoire,0.018304916462369716,0.049727412926571374,0.0037407344143525092,0.014251742468870286,0.006928646564578374,0.03522347707595004
Democratic People's Republic of Korea,0.007890927518877048,0.03232344720767419,0.001986194948854855,0.014171219423022402,0.0028523767896302746,0.016735696377991653
Democratic Republic of the Congo,0.013545693804724777,0.04543181973244115,0.003358093057718244,0.02953869772644263,0.0053295442425069775,0.023743569974313518
Denmark,0.023975356384546235,0.05201441858187571,0.006683399331422892,0.01829692873578925,0.007798040135336738,0.024512231817791077
Djibouti,6.721606901563356e-4,0.001640931037845041,1.318361658638982e-4,6.052729383900134e-4,2.0463148434866994e-4,8.374961188881811e-4
Dominica,6.417382650830251e-5,1.4789627667861026e-4,1.5007686136614836e-5,5.540513634835721e-5,2.1835859485376252e-5,8.360798323577642e-5
Dominican Republic,0.015179846182678307,0.02926631510286934,0.003411743939525814,0.009335676446777548,0.0038820535151011457,0.01321620316980127
Ecuador,0.015840746983778298,0.036249964080410806,0.0030906851788598698,0.011215944120797811,0.0045115867794985895,0.01770469470896428
Egypt,0.09533637415956091,0.19232435846643495,0.017387072737498243,0.05690597482942844,0.021513054405246142,0.08718255379337966
El Salvador,0.005985786460313454,0.01646525268624018,0.0011944727344405937,0.00459213196301945,0.0020453804856298127,0.01010368065845841
Equatorial Guinea,0.0016130305352922165,0.00319715981954721,2.60355421605795e-4,7.647219885440154e-4,3.275780754866035e-4,0.0011445363485199243
Eritrea,0.0018943221050215053,0.008583593903009348,2.957082039462913e-4,0.0013523907696542778,7.195076062626087e-4,0.00442113876132051
Estonia,0.0030560529414539756,0.006856393122044367,7.008287780689932e-4,0.002034831974055577,8.655049897797113e-4,0.0031405972275470317
Eswatini,6.657765721245051e-4,0.0017714342368389331,7.110828058862736e-5,2.4179200361685874e-4,1.1376750658720502e-4,4.4896552086172957e-4
Ethiopia,0.04511488011209536,0.16212253952501507,0.00876049809151503,0.0654499550245627,0.017271733276084167,0.0895995450283835
Fiji,4.4834933104880573e-4,0.0011999812665386036,3.316584709472131e-5,1.3571938629210195e-4,4.996087885983594e-5,2.7727773315882866e-4
Finland,0.015574118124883086,0.03317912780134279,0.00392866348812566,0.012059686082165665,0.0046702128909503005,0.015080672119491274
France,0.11551997712391274,0.21804182821911744,0.0222747967118888,0.05990403236138508,0.02918021338961551,0.08976188282052827
Gabon,0.001932367904934404,0.0037898283314401443,3.725541693307755e-4,0.0013170779215748783,4.6516840763623896e-4,0.001609187903509572
Gambia,0.0015066285282655345,0.005751061833206367,3.8549602460945833e-4,0.0022261109910262245,6.576004567186491e-4,0.0029608890863408017
Georgia,0.004064556642563826,0.009083641923633557,9.135544335551062e-4,0.0032970195084938867,0.0012510865975816847,0.005554277998746987
Germany,0.2700534108583654,0.4779347821381782,0.08011342703073926,0.20757964548685,0.06011691205650428,0.16873579620407808
Ghana,0.03187641144889303,0.09560566454495281,0.007519751749304276,0.031057696094986396,0.013000106350482887,0.07455534134526057
Greece,0.016633367917355528,0.033258432421761214,0.003813608809466381,0.013011783425667178,0.004269074072653477,0.015019279910255928
Greenland,2.208680448420488e-4,3.9912362260437895e-4,4.7412942623603704e-5,1.2124669970598568e-4,5.058153724965119e-5,1.540168542281879e-4
Grenada,1.2613654070356463e-4,2.6146996313842835e-4,2.7692798893468708e-5,8.122626260222253e-5,3.8330691950885235e-5,1.2101138713750644e-4
Guam,1.9842308506252103e-4,4.1757703312467247e-4,2.1882583583931683e-5,6.870851773262132e-5,2.5823721960961012e-5,9.331940051187167e-5
Guatemala,0.012358450522493826,0.02687196945700916,0.0025693127155029445,0.010973036870855737,0.0033131245344771056,0.012229992418274709
Guinea,0.005921585421406142,0.0177050062649384,0.0015874883897101155,0.008259095739702382,0.002516524060614945,0.011607712225437291
Guinea-Bissau,7.732025020045323e-4,0.003900181863773969,2.0518869309676135e-4,0.002760560484463605,3.086564986798742e-4,0.0019446376074108006
Guyana,0.0012174399062708176,0.002618436314333469,2.4469187887643897e-4,7.028615266944148e-4,3.5710608112907665e-4,0.0015010148408468196
Haiti,0.004240690014074797,0.015006411303183864,7.875311565190566e-4,0.003805508041267673,0.0014453986008727577,0.006938468943591514
Honduras,0.005097198458421864,0.014483225327508968,0.0010754808545873006,0.004616202570697537,0.0016555616796557386,0.008327133423346554
Hungary,0.013753916308230028,0.026645885700438438,0.0021743147371760356,0.006027496503721535,0.0028097015063000413,0.011568190732039322
Iceland,8.807747689111273e-4,0.0017450935035610484,1.9028938145504513e-4,5.142482525785993e-4,2.2444321152572075e-4,7.675924748528592e-4
India,1.3587928347525373,3.9619569180853875,0.3345155210614978,1.7975127857902582,0.4885206972828651,2.215732261920904
Indonesia,0.3322215443907973,0.7690632524641422,0.07389995363793549,0.252279335644452,0.10627458833110678,0.4766424019711543
Iran (Islamic Republic of),0.1116808590790406,0.2689968072979107,0.024736735714949103,0.08547815531111491,0.03324594555482888,0.1462876681609758
Iraq,0.036264452110771714,0.07546144151733547,0.006887932699924802,0.022796918354692098,0.008153059274723417,0.030908238537409465
Ireland,0.016619606781064503,0.03079827252359682,0.002422968473095251,0.00652715255364566,0.0028523901960176333,0.009634144377977341
Israel,0.01865722610184383,0.03617366892429982,0.0033793237549060795,0.0095400210311728,0.0038686899520924394,0.012792159201469257
Italy,0.116521336279972,0.2544381248132147,0.012512689323011179,0.03641289718081719,0.046119337645597905,0.15322908459548287
Jamaica,0.0024144964822646626,0.00530184332723772,5.650208957978415e-4,0.001939342193721451,7.772531661934818e-4,0.003072702343023485
Japan,0.18806647481770847,0.3511162157259928,0.035463812729900596,0.09107947081400872,0.0646526584221298,0.19680808792805238
Jordan,0.009895762814718635,0.023377861254560536,0.0018000685609751833,0.007142549651590559,0.0029654846855897295,0.013279015271013748
Kazakhstan,0.029381606715979752,0.061080797356027276,0.005670980873214991,0.01556969814474765,0.006833060680803007,0.025409838352656193
Kenya,0.031772495068511174,0.10514782038757628,0.006553743855276157,0.03388631346655091,0.011530943319595314,0.06141847315899818
Kiribati,1.7853592183108993e-5,7.253141359316614e-5,1.161903743289185e-6,6.0609270152601045e-6,2.5049885078307683e-6,1.2920240336353373e-5
Kuwait,0.016890644417358852,0.03437132171672601,0.003839519097470274,0.010802764903597401,0.004553992192891418,0.014561062886845196
Kyrgyzstan,0.0029060427767275687,0.008232930164485695,4.919585696399251e-4,0.002706983624634041,8.177939718175634e-4,0.0036645788071434818
Lao People's Democratic Republic,0.0035265165807553092,0.009789137268749002,4.0575277354239783e-4,0.0015393736418459697,6.055666808880614e-4,0.0028995366857112797
Latvia,0.004060278815527253,0.008920022048219154,9.99700482041829e-4,0.0030963928297832945,0.0012287771967933478,0.00429765618040001
Lebanon,0.00484687147315881,0.01300038214137652,0.0010659767186940333,0.004438825272950977,0.0015312367824938187,0.007906243951556365
Lesotho,3.9507762281833914e-4,0.001391419535479931,5.585922723103339e-5,2.885355876399705e-4,9.214760492024655e-5,6.031749165608546e-4
Liberia,0.002168523463304313,0.00863981989307145,4.6877856487093073e-4,0.002406857956603672,0.0012256502882396156,0.0071652469791229825
Libya,0.008567410425510734,0.017631077204183502,0.0015739817596352294,0.0047972673233508106,0.002316555690408589,0.00798229368195284
Lithuania,0.006786118771570052,0.013735920557441918,0.0015957276716555633,0.004036871752643431,0.0020335399969851255,0.006995491970789967
Luxembourg,0.0026717997165354294,0.00500560564338271,5.699552956953376e-4,0.001502198349277808,6.011963075466143e-4,0.0018505279340015302
Madagascar,0.003873095210206611,0.020552605758799903,5.279018429723966e-4,0.003026563610529948,8.634388273370439e-4,0.004660386795879806
Malawi,0.0041773542370762695,0.015466686878314892,7.101603328902257e-4,0.0034363144078519516,0.0016074683853375383,0.010746248601890124
Malaysia,0.04448305034411689,0.0864776058551457,0.0069558557364120715,0.021332412235791996,0.009643846125350141,0.04046678790320235
Maldives,5.562280224699141e-4,0.0010776420528069745,8.326361354184646e-5,2.618943385440917e-4,1.1258267484179929e-4,4.121001193863221e-4
Mali,0.009869106278415127,0.03575799939808776,0.002783189023369567,0.019386204176068216,0.003887704595637589,0.02358129722472954
Malta,0.0010818212206667086,0.00252961721220286,2.217112287848056e-4,5.766057468724224e-4,2.8763020624333733e-4,0.0011977347882570074
