Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.06027257907163849,0.1034637260847599,0.010104938724209275,0.024602533366486056,0.01871201210708962,0.04133010763351529
Albania,0.02718172788582362,0.020637918370578233,0.005927888465486696,0.00795846822099071,0.00764483171462716,0.010834490604203257
Algeria,0.4528406686110379,0.336934550599076,0.09292635855045775,0.11711906124556916,0.12587802639991613,0.17707807070821338
American Samoa,5.3814685128199e-4,3.974605582938994e-4,1.1436272323558888e-4,1.3601981430542366e-4,1.5263732100331901e-4,2.186829446457952e-4
Andorra,0.0022910356552243065,0.0014069897428934575,5.149340233550165e-4,4.7217855610110735e-4,6.084331353085648e-4,6.522824057118196e-4
Angola,0.1641992610418873,0.15186649834635257,0.025937948393627116,0.05022368145446173,0.04039363558809051,0.068562112298598
Antigua and Barbuda,0.0016273251914096637,0.0011401372292900813,3.931468499240356e-4,4.0134025115123347e-4,5.060031343970568e-4,6.096706383398699e-4
Argentina,0.6349580140501397,0.45249461427652826,0.13827965976129342,0.15087825100068747,0.17616932403578361,0.23737417146610995
Armenia,0.029488605576194052,0.022096854517687076,0.006118332526215433,0.007682412316562348,0.008630783929478284,0.01199100192011383
Australia,1.007639920925175,0.5987823755164488,0.22597588574162186,0.1770237014096243,0.24604463016404804,0.253020511863615
Austria,0.22733231073313626,0.14103992798333956,0.04774713364347057,0.042619357207144694,0.05798773509311426,0.06284459887861032
Azerbaijan,0.12348253766830225,0.08631767005866892,0.025695082055182374,0.03150324505348909,0.03243703781522583,0.04494526029524657
Bahamas,0.008470260713190406,0.00586512549678768,0.002002019845959574,0.0018563884793038898,0.0024891939020067148,0.0031740840148689305
Bahrain,0.04261430348465839,0.026387202803830383,0.009188779939359265,0.00847582114529533,0.010753101478967384,0.011710314234254976
Bangladesh,1.3434476539882512,1.3240874066912587,0.3327349457406795,0.5384126076607095,0.500905306956448,0.8246050820082003
Barbados,0.004221124904898366,0.0034086224477698286,0.0010705480909824281,0.001402454860499522,0.0014568152417908462,0.0020161126476816657
Belarus,0.14382934084852242,0.10455019428726134,0.03236042285719725,0.03593067975960494,0.04274495555243753,0.05754956451803175
Belgium,0.35341838868234365,0.22837826345111933,0.09087425656856071,0.07835543201880946,0.10592136118078288,0.11185257185131514
Belize,0.0035696230466810003,0.0028549845578544238,7.494499128684863e-4,0.0011122534333546834,0.001124846011469932,0.0016566879727335066
Benin,0.060818541628330156,0.07230278799936399,0.013674991270433604,0.027079791603305488,0.022224755319389052,0.04186926661329095
Bermuda,0.003139859019487517,0.002133379179552315,8.93169617775964e-4,7.523970073009904e-4,9.78723326285288e-4,0.0010455384189235045
Bhutan,0.009097858741861743,0.007798340375430739,0.00230836641603918,0.0037002600394047676,0.0032005132712528027,0.004589856264683743
Bolivia (Plurinational State of),0.0766650597833491,0.06484028871273553,0.01585280672720712,0.023615729610991596,0.02262464472989825,0.03643407280406421
Bosnia and Herzegovina,0.03630435009338936,0.02769141862031032,0.00785393068071782,0.009087244192434356,0.010978605712571188,0.01684576095662829
