Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.006977571209155246,0.12021920053660373
Afghanistan,OPG,0.026813344699199597,0.14375664484345188
Afghanistan,PA,0.007151309137832164,0.02339488752893597
Afghanistan,Prophy,0.04061979979756653,0.030089658706833788
Afghanistan,Maintenance_simp,0.08954262321084065,0.4913088155108538
Afghanistan,OHI,0.007596846685222521,0.058302371977466606
Afghanistan,Consult_perio,0.002701909244796331,0.01192296342370414
Afghanistan,RootDeb,0.0013300493251470506,0.01978932351810049
Afghanistan,Extraction,0.00198281659231989,0.01943405923446651
Afghanistan,OFD,1.264800746774831e-16,6.927583950889694e-15
Afghanistan,GTR,0.003378869933441492,0.005590400709546788
Afghanistan,Single_implant,0.02546156274536909,0.048560806854079576
Afghanistan,Denture,1.0089608951899694e-4,0.0024054465807879033
Afghanistan,Denture_repair,2.1822559663360104e-4,0.004806207302077753
Afghanistan,Maintenance_perio,0.04645381571973792,0.07548779048910968
Afghanistan,Implant_surgery,0.009770537677425592,0.03199725434619249
Afghanistan,Full_fixed,0.0026340554220764686,0.02094051115815334
Albania,Consult_simple,0.0071282724343562235,0.011666708845052207
Albania,OPG,0.006055743553443967,0.008979720736475476
Albania,PA,0.0020947343677312235,0.002800578147921651
Albania,Prophy,0.012745675027329572,0.006984672209358813
Albania,Maintenance_simp,0.04663092934716122,0.03562752787569068
Albania,OHI,0.002702080614369653,0.005247000906362649
Albania,Consult_perio,0.0015333472346549496,0.0037247548745721927
Albania,RootDeb,0.0038258085181147217,0.0070542905776131365
Albania,Extraction,0.003103446789071582,0.006612168061808597
Albania,OFD,3.9432581344871236e-4,9.91263807933283e-4
Albania,GTR,9.82098455573682e-4,0.0013354855803582768
Albania,Single_implant,0.009882916370588874,0.013712363400790207
Albania,Denture,0.0010878266296628282,0.0029458964648363417
Albania,Denture_repair,8.849437125444531e-4,0.0015768764796332854
Albania,Maintenance_perio,0.018701567922816742,0.018258780098546933
Albania,Implant_surgery,0.0020602455827918695,0.005689289276181507
Albania,Full_fixed,0.0019525295344244992,0.006134070895658608
Algeria,Consult_simple,0.1327753897574417,0.2383414332146933
Algeria,OPG,0.09903607833876635,0.14857366887924187
Algeria,PA,0.03456894092771263,0.04500266607353378
Algeria,Prophy,0.2264441581850939,0.13005693293868578
Algeria,Maintenance_simp,0.8225780035363466,0.644156800740274
Algeria,OHI,0.04955893864827448,0.09461028046456497
Algeria,Consult_perio,0.023575017445500324,0.04703783933107373
Algeria,RootDeb,0.058886716751492964,0.11499986720484012
Algeria,Extraction,0.04832995116674715,0.09691282829260373
Algeria,OFD,0.0058093459132800025,0.012798075920897087
Algeria,GTR,0.015833976457441962,0.022248141047452128
Algeria,Single_implant,0.1549971872837793,0.1996976973700429
Algeria,Denture,0.01610768475103487,0.0376732775172814
Algeria,Denture_repair,0.013997661250390094,0.02783243058895203
Algeria,Maintenance_perio,0.29934732824606947,0.2900261624661717
Algeria,Implant_surgery,0.033992551661381126,0.10742089255091582
Algeria,Full_fixed,0.02837365765936426,0.09283298861187822
American Samoa,Consult_simple,1.414185623725238e-4,2.806061732694615e-4
American Samoa,OPG,1.1439182250772898e-4,1.7928474944342045e-4
American Samoa,PA,4.1468287320595325e-5,6.09003508167455e-5
American Samoa,Prophy,2.506578307551491e-4,1.3799549251713238e-4
American Samoa,Maintenance_simp,8.823186528866301e-4,6.900100246023537e-4
American Samoa,OHI,5.509736776097667e-5,1.0666257554524405e-4
American Samoa,Consult_perio,2.8942438786643296e-5,5.84307526373974e-5
American Samoa,RootDeb,7.160936844634929e-5,1.376222638295713e-4
American Samoa,Extraction,6.899388851928199e-5,2.2084507697885784e-4
American Samoa,OFD,7.564355113891284e-6,1.990082012859345e-5
American Samoa,GTR,1.92325263345266e-5,2.6645083598532932e-5
American Samoa,Single_implant,1.9442499238514247e-4,2.5573558599475564e-4
American Samoa,Denture,1.9150330570868962e-5,5.023422942575748e-5
American Samoa,Denture_repair,1.7011327291822774e-5,3.320735545578074e-5
American Samoa,Maintenance_perio,3.73511257331844e-4,3.5025922636779615e-4
American Samoa,Implant_surgery,4.685451434904911e-5,1.4998280818091217e-4
American Samoa,Full_fixed,3.5530295801961715e-5,1.0470306983531887e-4
Andorra,Consult_simple,6.534152124341229e-4,4.891505808017845e-4
Andorra,OPG,4.2725791569038057e-4,3.329269219034084e-4
Andorra,PA,1.679699245742781e-4,1.371935647207613e-4
Andorra,Prophy,0.0010007960974278902,5.477897698678654e-4
Andorra,Maintenance_simp,0.0038681214391658937,0.001620073166249239
Andorra,OHI,2.2658718936824796e-4,2.19648585702683e-4
Andorra,Consult_perio,1.2305720950231525e-4,1.4394020097813318e-4
Andorra,RootDeb,4.16437770026684e-4,4.34199701733031e-4
Andorra,Extraction,3.367326846347005e-4,3.525992392496156e-4
Andorra,OFD,4.6086802477054546e-5,5.250148721563492e-5
Andorra,GTR,5.51249182551214e-5,6.689710085858183e-5
Andorra,Single_implant,7.264895055223442e-4,7.647113195737391e-4
Andorra,Denture,1.2785103964982951e-4,1.5490341038346058e-4
Andorra,Denture_repair,1.0901402452756609e-4,1.0535588247248816e-4
Andorra,Maintenance_perio,0.001441307130346575,9.624184012794485e-4
Andorra,Implant_surgery,8.85239155999126e-5,2.489590695379288e-4
Andorra,Full_fixed,1.6663573546570696e-4,3.1315400097852526e-4
Angola,Consult_simple,0.05488083155354873,0.18989634509482095
Angola,OPG,0.048120719743368456,0.10793493338997191
Angola,PA,0.013900411902669304,0.026447981205219743
Angola,Prophy,0.10717630817708033,0.062357011087041295
Angola,Maintenance_simp,0.35303163265095866,0.49522299031822625
Angola,OHI,0.023387806426286687,0.07703582598036057
Angola,Consult_perio,0.006825607289631943,0.019038086551335036
Angola,RootDeb,0.01220307550551301,0.044750631653944335
Angola,Extraction,0.012242145852436832,0.04315573545320422
Angola,OFD,0.0010516808059050082,0.004942055596479416
Angola,GTR,0.0056683912255306385,0.007993764346951385
Angola,Single_implant,0.050875604209827736,0.08229593935122802
Angola,Denture,0.0032964044541367045,0.016004031161623963
Angola,Denture_repair,0.0028413700640996494,0.013940659950613193
Angola,Maintenance_perio,0.0961487903017753,0.12150602866863194
Angola,Implant_surgery,0.014716831610021672,0.04262060949144481
Angola,Full_fixed,0.007456972609172514,0.03415491070123839
Antigua and Barbuda,Consult_simple,3.5932358320013883e-4,4.3721548134451846e-4
Antigua and Barbuda,OPG,2.942675344205054e-4,3.217936025450709e-4
Antigua and Barbuda,PA,1.1829097175218203e-4,1.340883020114612e-4
Antigua and Barbuda,Prophy,5.946658826656004e-4,3.338936113503645e-4
Antigua and Barbuda,Maintenance_simp,0.0021933991317310774,0.0012304996798902016
Antigua and Barbuda,OHI,1.357227845600165e-4,1.7878653657754152e-4
Antigua and Barbuda,Consult_perio,9.589998127695068e-5,1.5051585932039074e-4
Antigua and Barbuda,RootDeb,2.75836014222479e-4,3.931647971039303e-4
Antigua and Barbuda,Extraction,2.4257685395896546e-4,3.9135298154623923e-4
Antigua and Barbuda,OFD,3.088225016867633e-5,5.0290290000004264e-5
Antigua and Barbuda,GTR,5.517856898237541e-5,7.362933460818149e-5
Antigua and Barbuda,Single_implant,6.215555076437106e-4,7.355123275549803e-4
Antigua and Barbuda,Denture,8.104982225375941e-5,1.5476218290929103e-4
Antigua and Barbuda,Denture_repair,6.911119156826973e-5,8.755268721398752e-5
Antigua and Barbuda,Maintenance_perio,0.0012159096126277164,9.899365954478872e-4
Antigua and Barbuda,Implant_surgery,1.2238494225095655e-4,3.935544642014151e-4
Antigua and Barbuda,Full_fixed,1.280190653531106e-4,2.951155450321696e-4
Argentina,Consult_simple,0.1663299207479873,0.20881936447744093
Argentina,OPG,0.13356120472201885,0.15968360162142212
Argentina,PA,0.046498141682380284,0.04855229143641413
Argentina,Prophy,0.28905833541130005,0.15524824281592772
Argentina,Maintenance_simp,1.0854983014801625,0.6662939759277661
Argentina,OHI,0.06463320588491547,0.09854130276796766
Argentina,Consult_perio,0.03708643963857286,0.06309325670163242
Argentina,RootDeb,0.09908043650314967,0.1504891237644361
Argentina,Extraction,0.08407295334847603,0.12935023846162436
Argentina,OFD,0.010402903836349297,0.019190848919617216
Argentina,GTR,0.02068478196195052,0.02655248931395978
Argentina,Single_implant,0.22576514651650198,0.26532437063883313
Argentina,Denture,0.030078303719096092,0.05608421033658209
Argentina,Denture_repair,0.025272884484451034,0.03338829483522749
Argentina,Maintenance_perio,0.41022267895990644,0.3372516335781342
Argentina,Implant_surgery,0.043277943089093385,0.13242919803290978
Argentina,Full_fixed,0.0459780017941319,0.11675411867971958
Armenia,Consult_simple,0.00851913194302193,0.01436585895443046
Armenia,OPG,0.006414880522027701,0.009848325345305789
Armenia,PA,0.0022375679129829624,0.0032438890590410266
Armenia,Prophy,0.014036184634019743,0.007763599027497643
Armenia,Maintenance_simp,0.05134124770484122,0.040720510392535644
Armenia,OHI,0.0029753275014887887,0.005818030958900964
Armenia,Consult_perio,0.001594769569304126,0.0033539081287040557
Armenia,RootDeb,0.0037638746565257734,0.00726327488010316
Armenia,Extraction,0.0030810912822396294,0.006985372843773659
Armenia,OFD,3.878612829889301e-4,9.94402578868154e-4
Armenia,GTR,0.0010523533071171935,0.0015579271231236215
Armenia,Single_implant,0.010108520744283903,0.012884396618897337
Armenia,Denture,0.0010076411300322607,0.002664060219572832
Armenia,Denture_repair,8.823183632484005e-4,0.0015481027529327875
Armenia,Maintenance_perio,0.02015130572205677,0.019162425829581598
Armenia,Implant_surgery,0.0022482832230573584,0.005837389779359969
Armenia,Full_fixed,0.0018492311141518687,0.004849577016222948
Australia,Consult_simple,0.2575902389935112,0.12373926467470199
Australia,OPG,0.2187812513076165,0.10654499637251234
Australia,PA,0.12144874891535906,0.06888500081334391
Australia,Prophy,0.4844762752407293,0.25890923909110913
Australia,Maintenance_simp,1.7835431154730899,0.5276728544333701
Australia,OHI,0.07453002802235541,0.04970597680379798
Australia,Consult_perio,0.023145372057492803,0.020270061429080596
Australia,RootDeb,0.18354454337538598,0.16290744381373384
Australia,Extraction,0.16201801791927006,0.13181412729171121
Australia,OFD,0.02726636896699823,0.020034325976057015
