Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.0010750684169333331,0.05301812515393078
Afghanistan,OPG,7.093968408600889e-4,0.007809249616517819
Afghanistan,PA,2.032215779843203e-4,0.0020086948462688984
Afghanistan,Prophy,9.381593196451596e-4,0.003431497630020087
Afghanistan,Maintenance_simp,5.637145100882104e-4,0.012605984057569044
Afghanistan,OHI,1.5949697355291983e-4,0.002698995157775482
Afghanistan,Consult_perio,1.410101583277574e-4,0.0014775891963125848
Afghanistan,RootDeb,4.409168550910177e-5,0.0011243782446926276
Afghanistan,Extraction,3.59055938391027e-4,0.014176403188668835
Afghanistan,OFD,4.498560744400909e-22,1.7519304798094154e-20
Afghanistan,GTR,1.662457694565193e-4,0.0014382455719077827
Afghanistan,Single_implant,0.0011372480936301204,0.007205791601471828
Afghanistan,Denture,6.6234705316626245e-9,1.3656536070294728e-7
Afghanistan,Denture_repair,8.302054005226609e-6,3.693663110265133e-4
Afghanistan,Maintenance_perio,9.733511772098792e-4,0.005776028989301711
Afghanistan,Implant_surgery,4.7012271522473806e-4,0.005010306726498683
Afghanistan,Full_fixed,9.225294488225612e-5,0.001380564245013644
Albania,Consult_simple,1.717658935299317e-4,0.001016696047015483
Albania,OPG,1.823179186981644e-4,8.789698782467541e-4
Albania,PA,7.14785483492848e-5,3.548686787755671e-4
Albania,Prophy,3.115652159104026e-4,9.301582276391211e-4
Albania,Maintenance_simp,3.0550317846063016e-4,0.0013385183018290241
Albania,OHI,9.134900791158557e-5,6.172009417962738e-4
Albania,Consult_perio,6.898464810190732e-5,5.306846324074761e-4
Albania,RootDeb,1.8371795822450624e-4,0.0011398442846632286
Albania,Extraction,1.5562402641181004e-4,9.72412660012954e-4
Albania,OFD,1.6525455788133783e-5,1.354964662641935e-4
Albania,GTR,4.354538966867941e-5,2.0202706103289046e-4
Albania,Single_implant,4.6669393740164525e-4,0.0022714093426950905
Albania,Denture,4.595857679258981e-5,3.02800866814408e-4
Albania,Denture_repair,3.8992163238667404e-5,2.2407208239294744e-4
Albania,Maintenance_perio,2.9398333588421453e-4,0.0015376102736648816
Albania,Implant_surgery,9.166779967280195e-5,7.49686348362739e-4
Albania,Full_fixed,7.467882504866957e-5,5.59878042927143e-4
Algeria,Consult_simple,0.0037244214747372308,0.02551892429136816
Algeria,OPG,0.0036161444381556085,0.02103648001530413
Algeria,PA,0.0012262817523445817,0.005572899485328169
Algeria,Prophy,0.0061965041529142405,0.020127787854705852
Algeria,Maintenance_simp,0.005445817100682733,0.024529601934229792
Algeria,OHI,0.0014516571136881159,0.010174183347698363
Algeria,Consult_perio,0.0013815694921568637,0.010277823995345771
Algeria,RootDeb,0.0026472067544545353,0.014416663204816422
Algeria,Extraction,0.0023934647421931105,0.013550408014308688
Algeria,OFD,2.629400662250504e-4,0.0017680708141831897
Algeria,GTR,7.604425933848696e-4,0.003749362737799891
Algeria,Single_implant,0.007111485549496903,0.037109618379141986
Algeria,Denture,8.286937161330642e-4,0.007450108157684715
Algeria,Denture_repair,6.06372671669948e-4,0.003173050927707573
Algeria,Maintenance_perio,0.005415285104118964,0.026385541017674156
Algeria,Implant_surgery,0.0015298832416332604,0.015967154084662434
Algeria,Full_fixed,0.0012281189734610202,0.012776925195705838
American Samoa,Consult_simple,3.6044316596814036e-6,3.10395192039262e-5
American Samoa,OPG,3.177714991914715e-6,1.5451174367760216e-5
American Samoa,PA,1.4926282317199627e-6,7.194365685341634e-6
American Samoa,Prophy,6.071689757341426e-6,2.410801716261787e-5
American Samoa,Maintenance_simp,6.7979026999452484e-6,3.1130492036205076e-5
American Samoa,OHI,1.7850971087230525e-6,1.9567242279566825e-5
American Samoa,Consult_perio,1.599232748456409e-6,9.947272266931815e-6
American Samoa,RootDeb,3.4550505205314207e-6,2.0985933693700636e-5
American Samoa,Extraction,3.3675277454333413e-6,2.4157642285941456e-5
American Samoa,OFD,3.604185866954608e-7,2.4901722032879658e-6
American Samoa,GTR,1.0150685934175526e-6,5.342559363453956e-6
American Samoa,Single_implant,1.0056782464457953e-5,4.5550771503018944e-5
American Samoa,Denture,7.315434712292197e-7,4.572094934542175e-6
American Samoa,Denture_repair,7.522266934454719e-7,3.5261998408091287e-6
American Samoa,Maintenance_perio,6.5826841423935704e-6,3.219616377324552e-5
American Samoa,Implant_surgery,2.197038250804239e-6,1.655062815207793e-5
American Samoa,Full_fixed,1.947261063768348e-6,2.2536495688157078e-5
Andorra,Consult_simple,1.632792118579189e-5,6.511455359630848e-5
Andorra,OPG,1.249850222921391e-5,4.0732346302355765e-5
Andorra,PA,6.706560983630268e-6,2.355632407429728e-5
Andorra,Prophy,2.4536703497509355e-5,8.911664826264912e-5
Andorra,Maintenance_simp,2.602445010054159e-5,9.505407464368947e-5
Andorra,OHI,6.930087603034408e-6,3.005095505635654e-5
Andorra,Consult_perio,6.617792904042345e-6,3.432138825637092e-5
Andorra,RootDeb,2.1939675610248107e-5,9.396493302750732e-5
Andorra,Extraction,1.8329795143063046e-5,6.836967712024939e-5
Andorra,OFD,2.547068886364397e-6,9.732067921744093e-6
Andorra,GTR,2.9689627948936174e-6,1.1641976001763074e-5
Andorra,Single_implant,3.8213448064946895e-5,1.489000212454431e-4
Andorra,Denture,7.015492724588935e-6,2.8180427872438134e-5
Andorra,Denture_repair,6.042385667158445e-6,2.0227243472846347e-5
Andorra,Maintenance_perio,2.2266272935454304e-5,8.194272674320142e-5
Andorra,Implant_surgery,4.486390691661713e-6,4.13688279647972e-5
Andorra,Full_fixed,1.0028889064904411e-5,7.076928177399926e-5
Angola,Consult_simple,0.001062824015968859,0.01212665102718846
Angola,OPG,0.001297810305699493,0.00957125138022501
Angola,PA,5.018062134127491e-4,0.003403360849621215
Angola,Prophy,0.0024918604549346505,0.007916170096724753
Angola,Maintenance_simp,0.0030366517189330303,0.023636840945814155
Angola,OHI,4.072158606654841e-4,0.0045182876449081436
Angola,Consult_perio,3.213362717234308e-4,0.002352052285407886
Angola,RootDeb,5.767701957334415e-4,0.005024032708086812
Angola,Extraction,4.890336692237158e-4,0.004623171650886493
Angola,OFD,8.413473303709647e-5,0.00129481058223066
Angola,GTR,2.895891006424697e-4,0.0014229521727617306
Angola,Single_implant,0.0021674296045347103,0.011654852598159654
Angola,Denture,2.179520898136993e-4,0.004567256245351299
Angola,Denture_repair,9.582914929228816e-5,8.238973771153786e-4
Angola,Maintenance_perio,0.001419111496979556,0.006543931368251657
