Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.0012001849895270575,0.02149444625136564
Afghanistan,OPG,0.007262778456452694,0.03466986819625921
Afghanistan,PA,0.0021069514174161348,0.008806960630225008
Afghanistan,Prophy,0.01033936303787134,0.012333083450777356
Afghanistan,Maintenance_simp,0.005637507215583856,0.06700142938428112
Afghanistan,OHI,0.00288553805820627,0.024319568767462326
Afghanistan,Consult_perio,0.0013642562160960147,0.006277605926178541
Afghanistan,RootDeb,4.3229359900418397e-4,0.007679235148418579
Afghanistan,Extraction,8.553367923902187e-4,0.010505294133625612
Afghanistan,OFD,3.717734001248029e-11,1.8979534240347033e-9
Afghanistan,GTR,0.001658968895138659,0.0034424290345603935
Afghanistan,Single_implant,0.012586308550884072,0.03297740944773004
Afghanistan,Denture,1.773268127764177e-5,6.904914946123796e-4
Afghanistan,Denture_repair,8.456293852794971e-5,0.001551874224106973
Afghanistan,Maintenance_perio,0.007817388249685097,0.02274740448407335
Afghanistan,Implant_surgery,0.004638661395979212,0.017982864878757648
Afghanistan,Full_fixed,0.0013847465404207466,0.011336713823538505
Albania,Consult_simple,0.0017678498466241616,0.004188099679092915
Albania,OPG,0.0016956468289961433,0.0031999585407949615
Albania,PA,7.528155538714331e-4,0.0014099788205106665
Albania,Prophy,0.0031737948138677212,0.003301979877425011
Albania,Maintenance_simp,0.003219028770309951,0.004971166799857718
Albania,OHI,8.554464333859095e-4,0.002501479842314598
Albania,Consult_perio,7.622654755903566e-4,0.0020482460099919284
Albania,RootDeb,0.0019121697942647258,0.005482935610365156
Albania,Extraction,0.0015883994285994798,0.004498219585181905
Albania,OFD,2.0637217099477248e-4,7.807637146404897e-4
Albania,GTR,4.6077899136021973e-4,7.739692939031045e-4
Albania,Single_implant,0.004700287132489428,0.007994805327902331
Albania,Denture,4.53098204545631e-4,0.0013072584654192862
Albania,Denture_repair,4.4687767053846377e-4,0.0010363535911617284
Albania,Maintenance_perio,0.003142328063331584,0.0052105324407402676
Albania,Implant_surgery,0.0010351559093056423,0.00363955856399061
Albania,Full_fixed,0.0010094127977479947,0.003990314238958431
Algeria,Consult_simple,0.030779833275191466,0.07169252132530825
Algeria,OPG,0.029575561165682555,0.06045056851633112
Algeria,PA,0.01382666084712951,0.025489373084621843
Algeria,Prophy,0.05610364007329458,0.0616510575628887
Algeria,Maintenance_simp,0.05752518045275126,0.09687927797348088
Algeria,OHI,0.012836317892854773,0.0330242015513162
Algeria,Consult_perio,0.011563307409504219,0.028055519836746607
Algeria,RootDeb,0.02938218597893786,0.06340517161027111
Algeria,Extraction,0.024965713638678236,0.06422504765581456
Algeria,OFD,0.0031761709575779127,0.0103503280345354
Algeria,GTR,0.008260404102808191,0.01508631656481789
Algeria,Single_implant,0.07924540934859607,0.14024936426683665
Algeria,Denture,0.008814947988374277,0.02597580931036567
Algeria,Denture_repair,0.006592611523112842,0.016129241716359773
Algeria,Maintenance_perio,0.048967666416711186,0.09038414038381384
Algeria,Implant_surgery,0.016991104575750916,0.05996743494210673
Algeria,Full_fixed,0.014233952964082032,0.04698605530473135
American Samoa,Consult_simple,3.211554025205515e-5,7.774002858293735e-5
American Samoa,OPG,3.4886351903120404e-5,7.236676728014376e-5
American Samoa,PA,1.5170673450037388e-5,2.686773224834332e-5
American Samoa,Prophy,6.13738371694328e-5,6.679784269457926e-5
American Samoa,Maintenance_simp,6.883047945330155e-5,1.1249630838647806e-4
American Samoa,OHI,1.7192503213547038e-5,4.363162285309279e-5
American Samoa,Consult_perio,1.3897518131177238e-5,3.369084419931172e-5
American Samoa,RootDeb,3.499444267210164e-5,8.082436701931801e-5
American Samoa,Extraction,3.172250343580969e-5,8.715444835346224e-5
American Samoa,OFD,3.995735525720991e-6,1.2450842539796522e-5
American Samoa,GTR,8.982857466825725e-6,1.393214670107834e-5
American Samoa,Single_implant,9.292698943017738e-5,1.5560094607458425e-4
American Samoa,Denture,1.0332152289820544e-5,3.301432824672296e-5
American Samoa,Denture_repair,8.700527968427315e-6,2.079433846410957e-5
American Samoa,Maintenance_perio,6.234708760554126e-5,1.0356179234611182e-4
American Samoa,Implant_surgery,2.240263919154691e-5,9.262713203673168e-5
American Samoa,Full_fixed,1.8275012123346882e-5,6.623284574186902e-5
Andorra,Consult_simple,0.00016222384345062087,2.1107349832594506e-4
Andorra,OPG,1.3369466083239077e-4,1.5240875397550723e-4
Andorra,PA,6.508883516925135e-5,7.710638188047859e-5
Andorra,Prophy,2.5451294952073925e-4,2.6944594954983415e-4
Andorra,Maintenance_simp,2.756229919982641e-4,3.315117280890177e-4
Andorra,OHI,6.631124648315344e-5,8.831921589525415e-5
Andorra,Consult_perio,6.234305417777882e-5,9.208490338304642e-5
Andorra,RootDeb,2.1046983182636177e-4,3.0553933556267364e-4
Andorra,Extraction,1.6764033292963692e-4,2.1506467207496206e-4
Andorra,OFD,2.3246568611871913e-5,3.177636793907859e-5
Andorra,GTR,2.685400805240824e-5,3.786759453711389e-5
Andorra,Single_implant,3.5964590031399866e-4,4.7922784236640177e-4
Andorra,Denture,6.1879933834402e-5,8.943231982298863e-5
Andorra,Denture_repair,5.503302961274956e-5,6.669119977268207e-5
Andorra,Maintenance_perio,2.3459419686326438e-4,3.117810388411317e-4
Andorra,Implant_surgery,4.508587546801807e-5,1.4575566593168313e-4
Andorra,Full_fixed,8.678839607939659e-5,2.0392510602315598e-4
Angola,Consult_simple,0.012342970051205744,0.05006569502269629
Angola,OPG,0.014485628398981275,0.04813536515289443
Angola,PA,0.00526550486482564,0.014142496358163233
Angola,Prophy,0.02583154526516735,0.028584030399148527
Angola,Maintenance_simp,0.025813385233014022,0.05807197130678435
Angola,OHI,0.005751570829777183,0.0234447932071071
Angola,Consult_perio,0.00360727802319025,0.010858978762227932
Angola,RootDeb,0.0069097658965990814,0.03826934412571971
Angola,Extraction,0.005620624463389501,0.024405459661153088
Angola,OFD,6.202734126636879e-4,0.0033468591993351883
Angola,GTR,0.002971844491256306,0.005897994177114256
Angola,Single_implant,0.026595410009428548,0.05518429163459103
Angola,Denture,0.0016601613660299167,0.010104853496747154
Angola,Denture_repair,0.0014442900314777384,0.007241114381232874
Angola,Maintenance_perio,0.014585234523726768,0.02979056217197218
Angola,Implant_surgery,0.006606139906379579,0.02397219289163451
Angola,Full_fixed,0.004087634274774723,0.022334429253867086
Antigua and Barbuda,Consult_simple,9.069825026640587e-5,1.6657342648028096e-4
Antigua and Barbuda,OPG,8.712728306564806e-5,1.2414551877577604e-4
Antigua and Barbuda,PA,4.7900308457584194e-5,8.064442858448291e-5
Antigua and Barbuda,Prophy,1.4699961358927843e-4,1.5597604579740935e-4
Antigua and Barbuda,Maintenance_simp,1.5217440237731691e-4,2.0886983218902012e-4
Antigua and Barbuda,OHI,4.324563754998832e-5,7.498252276226843e-5
Antigua and Barbuda,Consult_perio,4.903197351636783e-5,9.627190497707687e-5
Antigua and Barbuda,RootDeb,1.3639015631052367e-4,2.2961867922421174e-4
Antigua and Barbuda,Extraction,1.2530067114094125e-4,2.586298188020471e-4
Antigua and Barbuda,OFD,1.6054004826768087e-5,3.3729921539905104e-5
Antigua and Barbuda,GTR,2.8101190104903747e-5,4.884441883509629e-5
Antigua and Barbuda,Single_implant,3.067379102579226e-4,4.613352369759668e-4
Antigua and Barbuda,Denture,4.162973043675158e-5,9.09544093574274e-5
Antigua and Barbuda,Denture_repair,3.815365842477938e-5,7.349012636856618e-5
Antigua and Barbuda,Maintenance_perio,1.9829856580688045e-4,2.952605277012619e-4
Antigua and Barbuda,Implant_surgery,5.642613006617149e-5,1.9579484738830498e-4
Antigua and Barbuda,Full_fixed,6.305570521143181e-5,1.802120075196578e-4
Argentina,Consult_simple,0.044793176288264076,0.08476052875564014
Argentina,OPG,0.03865908509401069,0.06523261598991464
Argentina,PA,0.018149447323366975,0.029683740221083398
Argentina,Prophy,0.07334077528264947,0.07549355238095622
Argentina,Maintenance_simp,0.0766046593557668,0.11554105251932535
Argentina,OHI,0.01812307776521403,0.03430134517513544
Argentina,Consult_perio,0.0177439512655298,0.04313779665840074
Argentina,RootDeb,0.0490689793699549,0.09395028303217899
Argentina,Extraction,0.038123824827303664,0.07800449892565209
Argentina,OFD,0.00529262041646871,0.01144973567307548
Argentina,GTR,0.010225321969574751,0.01750865673868231
Argentina,Single_implant,0.11112999771346627,0.18094964597298052
Argentina,Denture,0.013367082639254731,0.030482216419677865
Argentina,Denture_repair,0.011750967252008705,0.020592205728423806
Argentina,Maintenance_perio,0.06866377105625236,0.10543103207085594
Argentina,Implant_surgery,0.018782081021399354,0.07179259860169998
Argentina,Full_fixed,0.021139195409654553,0.06483785850280895
Armenia,Consult_simple,0.001978310252846322,0.0051251099630745854
Armenia,OPG,0.0019595828921279085,0.004175611303955544
Armenia,PA,7.98416080645494e-4,0.0015165398527711396
Armenia,Prophy,0.0035071720177394473,0.0037106096530103573
Armenia,Maintenance_simp,0.003576111208947421,0.006094566199713033
Armenia,OHI,8.267552200595558e-4,0.00221058196372562
Armenia,Consult_perio,7.270087610724231e-4,0.0019947620037235004
Armenia,RootDeb,0.0019628462648746117,0.004981935325796697
Armenia,Extraction,0.001567260995697736,0.0038006347444261676
Armenia,OFD,1.9545209521209806e-4,5.454871958578357e-4
Armenia,GTR,5.251449344243146e-4,9.056178020632996e-4
Armenia,Single_implant,0.005297551561678762,0.008937353391849432
Armenia,Denture,5.916133568342788e-4,0.0020306975281046366
Armenia,Denture_repair,4.8479596301778964e-4,0.001372605473823949
Armenia,Maintenance_perio,0.003233760923068437,0.005363309052663114
Armenia,Implant_surgery,0.0012517890665502752,0.0043388353751192465
Armenia,Full_fixed,0.0010050339813971792,0.004170333380224777
Australia,Consult_simple,0.06592004124529317,0.06483794433155854
Australia,OPG,0.0654184768878539,0.05351529192551127
Australia,PA,0.04533724641536382,0.04099598993589948
Australia,Prophy,0.1211593207052723,0.12522474654622487
Australia,Maintenance_simp,0.12993820115958574,0.14980974751946413
Australia,OHI,0.021153600239910756,0.024287054458626653
Australia,Consult_perio,0.011605861544935696,0.013395319585752198
Australia,RootDeb,0.09360722679292617,0.11202107542713327
Australia,Extraction,0.08029767980621393,0.08680519404860695
Australia,OFD,0.013808199590416015,0.014199658201820519
Australia,GTR,0.009053108704726188,0.009265816366773183
Australia,Single_implant,0.142634222791897,0.16079677237331236
Australia,Denture,0.0131143341573736,0.01491986364109751
Australia,Denture_repair,0.022246920016077934,0.023284068300991802
Australia,Maintenance_perio,0.10429632766862922,0.11810817507066333
Australia,Implant_surgery,0.011817788887043167,0.025636603038293997
Australia,Full_fixed,0.05623136431165637,0.12345617128399461
Austria,Consult_simple,0.017977032604801393,0.02321846366510163
Austria,OPG,0.013923075912623739,0.015563059339627395
Austria,PA,0.006257500295122654,0.0071367143944800334
Austria,Prophy,0.027317416565805084,0.02828088028048952
Austria,Maintenance_simp,0.029278248182498124,0.03450036263547074
Austria,OHI,0.006754967283006025,0.008921714748385065
Austria,Consult_perio,0.006077199717848877,0.009400627767934577
Austria,RootDeb,0.019800384288060035,0.02753860842841012
Austria,Extraction,0.015917672888523058,0.021033814768328805
Austria,OFD,0.0022692751044275355,0.003217577054820006
Austria,GTR,0.0025910436765588076,0.003734756117435548
Austria,Single_implant,0.034791259361244456,0.044776014228337775
Austria,Denture,0.005982009482493953,0.00913705260562164
Austria,Denture_repair,0.00519371525580612,0.006420534613313922
Austria,Maintenance_perio,0.021180759120746694,0.02787558342124006
Austria,Implant_surgery,0.004191397401133218,0.013983378587018197
Austria,Full_fixed,0.007829353592436512,0.019560386998992037
Azerbaijan,Consult_simple,0.00933047111924154,0.02154278662688379
Azerbaijan,OPG,0.007960889382722129,0.014029783954968952
Azerbaijan,PA,0.00317749309306741,0.005151863951738055
Azerbaijan,Prophy,0.015417449307998645,0.016627600416568123
Azerbaijan,Maintenance_simp,0.0166415229636223,0.02552200731010348
Azerbaijan,OHI,0.0035222161192488117,0.0070337038761167136
Azerbaijan,Consult_perio,0.003042394154424637,0.006966128165168061
Azerbaijan,RootDeb,0.00841300345371527,0.01924415624243984
Azerbaijan,Extraction,0.007092033802465439,0.016839641913599455
Azerbaijan,OFD,8.784140170000116e-4,0.0023399552624879453
Azerbaijan,GTR,0.0019308999812596953,0.003967179656727913
Azerbaijan,Single_implant,0.019746712844358052,0.031805370521251694
Azerbaijan,Denture,0.0024354824312906418,0.007040077545722544
Azerbaijan,Denture_repair,0.0020503224785066486,0.00421379023727458
Azerbaijan,Maintenance_perio,0.01363871245831053,0.023029671857358987
Azerbaijan,Implant_surgery,0.004276538463714611,0.01721648806873703
Azerbaijan,Full_fixed,0.0039279815973558814,0.014271019972102197
Bahamas,Consult_simple,5.21253989196621e-4,8.387894675322124e-4
Bahamas,OPG,4.5891681056399003e-4,5.869861289518108e-4
Bahamas,PA,2.3285660144170756e-4,2.996367174363158e-4
Bahamas,Prophy,8.399026282377193e-4,9.195579450527095e-4
Bahamas,Maintenance_simp,9.334128365636611e-4,0.0011990201753144267
Bahamas,OHI,2.2346118985312743e-4,3.7587847653062904e-4
Bahamas,Consult_perio,2.2886499765222018e-4,3.9436984564357295e-4
Bahamas,RootDeb,7.188614695871011e-4,0.0010890211210469322
Bahamas,Extraction,6.101755156278413e-4,0.0010242344610898195
Bahamas,OFD,8.092085514015662e-5,1.3800591798895177e-4
Bahamas,GTR,1.2081253495813051e-4,1.80178989103409e-4
Bahamas,Single_implant,0.001486009541529407,0.0023337916080918963
Bahamas,Denture,2.2507538866014756e-4,4.238600802037441e-4
Bahamas,Denture_repair,1.8988901372428437e-4,2.620585260701837e-4
Bahamas,Maintenance_perio,0.0010116273823614155,0.00139397264185026
Bahamas,Implant_surgery,2.3699973701550223e-4,8.88440465525912e-4
Bahamas,Full_fixed,3.5122022107737355e-4,0.001092337689047906
Bahrain,Consult_simple,0.003228158284907044,0.004113236243979136
Bahrain,OPG,0.0025317337510918792,0.002805053469980366
Bahrain,PA,0.0012182375348704225,0.0016161943695008705
Bahrain,Prophy,0.004949634164471647,0.0054787175429103375
Bahrain,Maintenance_simp,0.005567362762367934,0.006765357414097413
Bahrain,OHI,0.0012566579445502425,0.001694132054127747
Bahrain,Consult_perio,0.0011720241692554615,0.0018227574852085452
Bahrain,RootDeb,0.0038022981786342237,0.005404043853561001
Bahrain,Extraction,0.0031139751786102027,0.004146764943037159
Bahrain,OFD,4.178827525751032e-4,5.838870896916802e-4
Bahrain,GTR,4.8472104856031047e-4,6.562561420880249e-4
Bahrain,Single_implant,0.006579337745881103,0.008769254215083367
Bahrain,Denture,0.0010784993078111784,0.00176049049514078
Bahrain,Denture_repair,9.581980609897672e-4,0.0010712802921876955
Bahrain,Maintenance_perio,0.00411851623579654,0.005518854612540098
Bahrain,Implant_surgery,7.126392644069006e-4,0.0026916433271002333
Bahrain,Full_fixed,0.0014244270998784341,0.0034755518564958043
Bangladesh,Consult_simple,0.043178685688538755,0.22212968347174533
Bangladesh,OPG,0.08146178245969296,0.294151144343723
Bangladesh,PA,0.03956336765353519,0.1363471671458307
Bangladesh,Prophy,0.10573195193558775,0.11790410384169872
Bangladesh,Maintenance_simp,0.10519551989371423,0.2744865753711993
Bangladesh,OHI,0.028271724278338094,0.10176203848004285
Bangladesh,Consult_perio,0.048667784677295274,0.18930007995862347
Bangladesh,RootDeb,0.07103525926570538,0.32312979168250183
Bangladesh,Extraction,0.06686623328538119,0.3291090878081243
Bangladesh,OFD,0.006022083981422973,0.0406241946074714
Bangladesh,GTR,0.0393154543018587,0.07764104943563205
Bangladesh,Single_implant,0.3233394034504561,0.623396178513035
Bangladesh,Denture,0.017063827045910952,0.11131650453661601
Bangladesh,Denture_repair,0.016867094848484445,0.10505954367363386
Bangladesh,Maintenance_perio,0.20723249961073267,0.40555017627705814
Bangladesh,Implant_surgery,0.09815916207473634,0.37693393670932657
Bangladesh,Full_fixed,0.045475819536860224,0.26519516904587154
Barbados,Consult_simple,1.9137920925513035e-4,4.929131883988908e-4
Barbados,OPG,2.247923258900624e-4,4.1008365930872876e-4
Barbados,PA,1.1709161872968943e-4,2.093519615688341e-4
Barbados,Prophy,3.369075981232368e-4,3.641784903492807e-4
Barbados,Maintenance_simp,3.4078912984332916e-4,5.192766546717746e-4
Barbados,OHI,9.612742887620762e-5,2.1154190280258046e-4
Barbados,Consult_perio,1.3917902835409809e-4,3.305577555004988e-4
Barbados,RootDeb,3.655404414495285e-4,9.405507870833986e-4
Barbados,Extraction,2.849479763885091e-4,7.297209873151258e-4
Barbados,OFD,3.690521979061328e-5,1.1116113101966794e-4
Barbados,GTR,8.659788794958471e-5,1.5274202646430537e-4
Barbados,Single_implant,9.564165391649162e-4,0.0017192492729428159
Barbados,Denture,9.479115377952439e-5,2.712458300562531e-4
Barbados,Denture_repair,8.481425523433869e-5,1.7810053365379877e-4
Barbados,Maintenance_perio,5.440517984575303e-4,9.348735703651213e-4
Barbados,Implant_surgery,1.7389292995932575e-4,5.527145017861889e-4
Barbados,Full_fixed,1.4690036365274108e-4,5.028004039036383e-4
Belarus,Consult_simple,0.009500040088017369,0.018301518665597576
Belarus,OPG,0.008124551821796682,0.012365372791407427
Belarus,PA,0.004065396742132435,0.006326140524349405
Belarus,Prophy,0.014945693878184601,0.016168439307954283
Belarus,Maintenance_simp,0.015199193071690029,0.021486760274831207
Belarus,OHI,0.00397791501126648,0.007281931596341528
Belarus,Consult_perio,0.004331069745227877,0.009304638035259608
Belarus,RootDeb,0.011395021981421494,0.02042512054093261
Belarus,Extraction,0.009819114426321583,0.02242327683991154
Belarus,OFD,0.0012081967459918795,0.0022353085322731206
Belarus,GTR,0.0023509811762937997,0.003786698994576204
Belarus,Single_implant,0.026319609923217732,0.04614696972708867
Belarus,Denture,0.0035562520667171763,0.00887118711650394
Belarus,Denture_repair,0.002932750379083179,0.004922043353507942
Belarus,Maintenance_perio,0.01616721060774066,0.026932437286911602
Belarus,Implant_surgery,0.0048631888609329075,0.015139891300842872
Belarus,Full_fixed,0.0050731543224865295,0.015697253523072077
Belgium,Consult_simple,0.019544967154001183,0.026231545572473425
Belgium,OPG,0.018280182991124817,0.020117548036341446
Belgium,PA,0.010158598350629213,0.013209114576213812
Belgium,Prophy,0.030127379238983287,0.0329311110772273
Belgium,Maintenance_simp,0.03322887376840966,0.04055730295005837
Belgium,OHI,0.008757131669084487,0.010960563866144258
Belgium,Consult_perio,0.011277599748098064,0.01720372437737532
Belgium,RootDeb,0.03681334298741968,0.05030401946054918
Belgium,Extraction,0.02867047800147636,0.038255813990185406
Belgium,OFD,0.004089966977625851,0.005755078756354143
Belgium,GTR,0.004846104820219805,0.006748867276382428
Belgium,Single_implant,0.06384451618304626,0.08275191659694929
Belgium,Denture,0.011105105489849538,0.017586891883959385
Belgium,Denture_repair,0.009709903157480841,0.011849860147395948
Belgium,Maintenance_perio,0.04170240179448835,0.05324935318449647
Belgium,Implant_surgery,0.007354257502727211,0.027850983180258203
Belgium,Full_fixed,0.013907578847679028,0.029389229676482356
Belize,Consult_simple,2.0455420982035902e-4,6.693124518380454e-4
Belize,OPG,2.031153853124549e-4,4.428808094126839e-4
Belize,PA,1.0177091724689806e-4,2.2284703347315594e-4
Belize,Prophy,4.0232291521852644e-4,4.4390289946268655e-4
Belize,Maintenance_simp,0.00043648928210570954,8.714895715283162e-4
Belize,OHI,1.1000323294176842e-4,3.7604458921786565e-4
Belize,Consult_perio,9.384003036472391e-5,2.780693365852811e-4
Belize,RootDeb,2.0049110861217783e-4,6.431182014425041e-4
Belize,Extraction,1.6596824774436813e-4,5.18975994302052e-4
Belize,OFD,2.024690542394828e-5,8.511630666613125e-5
Belize,GTR,7.338471841840097e-5,1.309721282775364e-4
Belize,Single_implant,7.334204275300895e-4,0.0013188295526847605
Belize,Denture,5.645438333445845e-5,2.840611155206007e-4
Belize,Denture_repair,4.9575536270287826e-5,1.5403439021123433e-4
Belize,Maintenance_perio,4.3259008200173304e-4,8.682838741110166e-4
Belize,Implant_surgery,1.5846466398689886e-4,4.8393897805031804e-4
Belize,Full_fixed,1.2693100034819727e-4,5.976828078688764e-4
Benin,Consult_simple,0.0020352935227310317,0.02989526896769044
Benin,OPG,0.00441596421404941,0.017529655092972194
Benin,PA,0.001775998386900205,0.005636972767398268
Benin,Prophy,0.006551842440551734,0.007778343754439623
Benin,Maintenance_simp,0.005416418969165774,0.02334354804321994
Benin,OHI,0.0016729033187970657,0.011644912153923579
Benin,Consult_perio,0.0019151416192529898,0.008326233454274383
Benin,RootDeb,0.002174442260221926,0.015335909521252687
Benin,Extraction,0.00148304731029838,0.009478931404871705
Benin,OFD,1.396087969703759e-4,0.001535827132729088
Benin,GTR,0.0017780224331980811,0.003497436506227818
Benin,Single_implant,0.014688059502614734,0.030613827472873587
Benin,Denture,4.914467075469722e-4,0.006866231193659086
Benin,Denture_repair,2.4340875614351328e-4,0.002244977977886316
Benin,Maintenance_perio,0.00923510303680413,0.02174899592489098
Benin,Implant_surgery,0.0045286154083316685,0.016030076726884723
Benin,Full_fixed,0.0022732249447521657,0.02040443244098103
Bermuda,Consult_simple,1.3408901712936268e-4,1.533540665365979e-4
Bermuda,OPG,1.4500269495923936e-4,1.3480241831719013e-4
