Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.26844880876391464,0.5690998054602602,0.04903175869002344,0.07749870059787027,0.039825801420612955,0.06690501834534844
Albania,0.12207603213680719,0.05017425699574164,0.024372137181229755,0.018685901617926937,0.015745093902236464,0.017196844069372427
Algeria,2.051780282152134,0.8454306176295978,0.40101014042940947,0.32524492365996893,0.25185088433922725,0.2701801290717707
American Samoa,0.0023832715461356052,0.0010039563389274695,4.913743105923367e-4,4.125536699135175e-4,3.3285588976703095e-4,3.9339137225659815e-4
Andorra,0.010019180790515635,0.0027771687801397553,0.0020849049900915563,0.0010778645580139488,0.0011999109130916839,0.0010439732196270634
Angola,0.8137055410259219,0.5705404891744817,0.12359193666181867,0.13054734716873,0.08046754907712521,0.09816731162024707
Antigua and Barbuda,0.006636515125427089,0.0022705546422616745,0.0016701731726096979,0.0011056011132669085,9.888922272912723e-4,9.397035063875783e-4
Argentina,2.8551224366249484,1.003593698072229,0.5815127877241596,0.40185063028153983,0.36572141591087215,0.3692911829282342
Armenia,0.12907528181282965,0.05530022515873786,0.02561957808580849,0.019866750981008815,0.0165711688769132,0.017758246347092718
Australia,4.489180262015161,0.9603909716055448,0.8884385040622549,0.3358352375573776,0.4839307665340356,0.33961376328636905
Austria,1.0197397856451034,0.27011239975900386,0.19323329617622467,0.10173578633761275,0.11011020864538026,0.08693558248385583
Azerbaijan,0.5618049399384435,0.21175786757699563,0.10344862446613033,0.07566501199779735,0.062147214781639586,0.060895217857164424
Bahamas,0.03597768218022774,0.010992511412176774,0.008262795115220687,0.004860752814154748,0.005012036288629374,0.004368483710623583
Bahrain,0.19148125433807833,0.05094703287097468,0.03764600912466117,0.019705740112377985,0.021672891369451136,0.0180997060946372
Bangladesh,5.304515623865706,3.4710884106287194,1.602011844019317,1.8431224328464972,1.0710153298296115,1.4132998676383248
Barbados,0.01668994572908335,0.006998027212999201,0.004600856715941443,0.0036116820057219704,0.002797663702823214,0.002983695789856264
Belarus,0.6080704120765088,0.21720531888011407,0.13896989415500413,0.09319468652339145,0.08412081399689843,0.08724219537549
Belgium,1.4245511627291683,0.4118068936138199,0.3635389126928714,0.18044103807641457,0.20973390170413422,0.1732370818669412
Belize,0.0157689872936767,0.008224288892302216,0.00329459022080381,0.002991790467675285,0.002240952096768564,0.002822547226070716
Benin,0.24946021991253567,0.22837930842447995,0.06440151358819048,0.08076792853778468,0.04535276960827161,0.06689191208681472
Bermuda,0.011918330859935218,0.0034559814968437796,0.0034377106623495524,0.0015759079428186407,0.0019787963908909664,0.0015076037710342737
Bhutan,0.03537734297798696,0.01660162660282136,0.00971972115958091,0.007982766930730635,0.006528501322520241,0.007295508582823022
Bolivia (Plurinational State of),0.34318104671607935,0.20102104812643692,0.07119992771997655,0.06712491308752452,0.04778402424159373,0.05830072498683144
Bosnia and Herzegovina,0.1577740330868472,0.0655688038150291,0.03446555745616768,0.026388202820562572,0.021096581106700835,0.023788973595220468
Botswana,0.1655553582409,0.03860063407240978,0.008281452928103613,0.003645086597708772,0.0033867802574952875,0.0027570250746844173
Brazil,14.325721746537615,2.888165237277911,1.7040962114352047,0.7358869262877051,0.5525833094430233,0.3916144058116207
Brunei Darussalam,0.06994204650355663,0.017282050126590523,0.0090022730118806,0.00435821995219804,0.005203845433895353,0.004159706914186185
Bulgaria,0.4282774511094355,0.13967512279323932,0.07809525296358619,0.05039035838791891,0.047254538194440913,0.044323020792724446
Burkina Faso,0.39371261173145694,0.4086380103644104,0.12903040112783187,0.1761612630511362,0.09217040365136987,0.1495268727395684
Burundi,0.06304540978961416,0.07744902253130323,0.021691116215311636,0.036311205163864116,0.01644990620486146,0.02834457583160711
Cabo Verde,0.022759123052010735,0.013237880380625816,0.008032712592252163,0.007960382992287044,0.005135993790416379,0.006180509351622835
Cambodia,0.34566534177651814,0.27766941889887115,0.07233722508568041,0.08672660034660769,0.048995185613965486,0.06933182131279002
Cameroon,0.7567789054455138,0.612877932246141,0.23797990757124654,0.29296613362374907,0.16370444895543682,0.22338591544769765
Canada,5.3025621862332235,1.450832066707803,1.3369684902418963,0.5231568337624743,0.8007982581315989,0.5680793883247555
Central African Republic,0.029854758422617478,0.049619644149455085,0.008919018485399702,0.015440096874820038,0.006813127093495008,0.011098841180493417
Chad,0.218955955843876,0.32254588570007897,0.06174761797280111,0.08566450504252097,0.04516445494149475,0.07352335506980791
Chile,2.124661404699827,0.5026735069695396,0.4816922225283975,0.21018194639343882,0.15923615351433937,0.11617577902956802
China,26.680812760891715,6.671380066980524,4.8597797548997885,2.0107098965417918,4.398741454747316,3.0888203123693825
Colombia,2.671065749922444,1.0917026927424966,0.6470266375347526,0.49706961211120326,0.3984575429567027,0.4647294635801201
Comoros,0.011249258932729217,0.011977820386431394,0.0026915943511885967,0.003745849053576946,0.0019066404125328469,0.0031666735579393966
Congo,0.11696159756913418,0.09385540587530485,0.022560093704059418,0.02523585658580403,0.01491132842355544,0.020854812366346526
Cook Islands,9.319223744384168e-4,3.437832810422138e-4,7.48435221542173e-5,5.405233675047908e-5,4.498141336946928e-5,4.2891941528863676e-5
Costa Rica,0.29459111635498064,0.10808320259517364,0.07028704434199923,0.048383807599670314,0.042790787946520886,0.04052967501219658
Croatia,0.3597172940240623,0.11660639895602293,0.08932280903724286,0.05258078498393009,0.05471457597660762,0.049689016882963497
Cuba,0.441725410508638,0.24007780053746244,0.122995491197881,0.11386380343780753,0.08534075861094818,0.10785716330916012
Cyprus,0.12237392253602276,0.0343041358845599,0.020962239179163563,0.011871023354194318,0.012832371662967065,0.011528674893673777
Czechia,1.0112697538567854,0.29375758410942554,0.21625702895284352,0.1203837847292189,0.12922833807984685,0.11828988208720777
Côte d'Ivoire,0.7634655792519729,0.5203836759289726,0.19097295866751893,0.20574373022126538,0.1286690264593056,0.18583860675077904
Democratic People's Republic of Korea,0.27596242626506934,0.40371531362358054,0.08062059258776243,0.11935454006665466,0.058577552744345236,0.0910952851155537
Democratic Republic of the Congo,0.6199317385048941,2.1625722756176873,0.1521606538493557,0.2279408663632159,0.12090066996873394,0.20839374117084092
Denmark,0.8942078476391279,0.2782166188105478,0.2679000353411679,0.13050154677639467,0.15276253638247103,0.12241927744907913
Djibouti,0.03277954294249418,0.021986020513353265,0.00655200356482253,0.007031651504447168,0.004407195043150107,0.005788282234744901
Dominica,0.0028123694641797943,0.001331090439475658,7.357515536732029e-4,6.437488728386917e-4,4.7070412409572237e-4,5.529852994075968e-4
Dominican Republic,0.6709967120346567,0.23533287617122647,0.14185441504836727,0.0969297678194292,0.08906782793495033,0.0871760955987614
Ecuador,0.6994308479454726,0.32759435709549184,0.14777228154802594,0.12482597294032234,0.090119965697658,0.10143894165605162
Egypt,4.570265555706966,1.9799864017422015,0.7738266892265236,0.631169414950011,0.4688712346222886,0.4898125087345287
El Salvador,0.2326774711865576,0.12496474524694642,0.05278479520260799,0.04777197081820531,0.034463633788948116,0.04479534721329187
Equatorial Guinea,0.0878432488157098,0.03033731414487314,0.012218757737252742,0.008634031304757327,0.007495327461534432,0.007264293229107619
Eritrea,0.07064707615332462,0.11645324175064849,0.015944901429293605,0.023008494429493345,0.011854735790890998,0.018791044368921588
Estonia,0.12846041727868568,0.03704034312108363,0.029267410878638548,0.016528339369725677,0.0173658796200116,0.015244933536557408
Eswatini,0.03624297907864865,0.020090715860650872,0.003344965512049409,0.0030728755988712565,0.0022092155284229166,0.0027962379910943936
Ethiopia,1.8430366965686757,2.293473668382413,0.49666175965690124,0.6808738747076261,0.3795954023639496,1.0068680497805511
Fiji,0.027014529726780544,0.016269449479042627,0.0015439128047273387,0.0013617007794599087,9.787084907601133e-4,0.001146081313839742
Finland,0.648009407995255,0.18415023577352646,0.15771154238803034,0.08152406059950462,0.093863618168382415,0.07803842920777151
France,5.81649059490571,1.3455253450520426,0.8968489938843908,0.35020011808263224,0.6483291511644964,0.45534685128775165
Gabon,0.09540588806748967,0.03559139226240005,0.015922519403233644,0.01175593785897489,0.00980585907484599,0.010326466893166977
Gambia,0.049877272477732076,0.0488150643007989,0.01689923904564134,0.02232576675735946,0.013014171099165724,0.020715723118084988
Georgia,0.17076840915363978,0.06930204328524386,0.03594158078709088,0.028286933277423782,0.022497028531949435,0.024455925850512164
Germany,13.529614393149085,3.1407170889328997,3.4885396067720116,1.4195582932951272,1.2354981485682095,0.8702003612865978
Ghana,1.125633573957074,0.6815852704626997,0.346975309710337,0.36630472847827433,0.2266187071000666,0.2971870489815939
Greece,0.7551893994904052,0.23643895331725132,0.15535899909788758,0.09585935377013931,0.09109528243483318,0.08623299111629242
Greenland,0.010275566429084044,0.0026389853008858604,0.0018529828210540756,8.630439460090583e-4,0.0010798608384451514,8.899202136328588e-4
Grenada,0.005331414674108076,0.002281028593973661,0.001272938935838047,0.0010607136977316004,8.379016472645541e-4,9.491044388058496e-4
Guam,0.011467460633918621,0.003483703411437168,8.445729166877406e-4,5.110533749736102e-4,5.168790744455292e-4,4.6202358650586535e-4
Guatemala,0.5312392743691399,0.27623878862544954,0.10954276356926841,0.10597662671612063,0.07036372866768852,0.09197538804680601
Guinea,0.2436132444918756,0.2543518090266428,0.07934714974431908,0.11011583160585013,0.056910520161256604,0.08599416171819338
Guinea-Bissau,0.027005299386086448,0.03076765822226489,0.008902638605548805,0.01315643457688084,0.006073460709174472,0.010292710502260802
Guyana,0.05195481725174874,0.01694306701446899,0.010023848476115236,0.006420558229031557,0.006269723747294439,0.006044673263239721
Haiti,0.1743966250689921,0.21096570410758686,0.04274731275882031,0.05782002918270269,0.03158113432961205,0.049712463260159954
Honduras,0.2419568051529112,0.16913049702290975,0.05277972470176906,0.05727972963778515,0.03512941926639364,0.04478705365040968
Hungary,0.7140897737476973,0.21015092231786003,0.08687669698312162,0.052096961445016014,0.05127147029091414,0.04755283056300355
Iceland,0.04008556892097292,0.010502024022041864,0.006779220368636056,0.003457997868773755,0.004045615048509553,0.0034549102043153696
India,51.233696373308774,28.886837774902137,13.601679828154104,13.355651481299068,9.299713763455593,11.700011099581966
Indonesia,13.617132359673612,5.675216718857069,3.0644773356330415,2.402948335301182,1.9015013098982452,1.9986161867905783
Iran (Islamic Republic of),5.129761933362765,1.8307507777745753,1.0795417016615312,0.7496453962867606,0.6574759161457806,0.6298770818458093
Iraq,1.8232555345755213,0.8259567246312617,0.3088664645703601,0.24339476208338118,0.19847122267004305,0.23181781863461293
Ireland,0.8700967919452768,0.21388606861425327,0.09465048196145341,0.0441631315600053,0.05305635352438875,0.04104693504295807
