Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.006363003833139829,0.02515700529108593,0.0013699439275559853,0.010260154899599114,0.0019098613451566861,0.009485039732103209
Albania,0.0027216176633757853,0.006100847454639958,6.436732275523375e-4,0.0023112710692302944,7.466018428652359e-4,0.0029468517144817788
Algeria,0.04524191504043745,0.09779647531204547,0.010456164156276178,0.03642889377825406,0.010666043915804134,0.039500280273252024
American Samoa,5.479200203213101e-5,1.2428790788638301e-4,1.2905490516339306e-5,4.4681449954525016e-5,1.5451936623379534e-5,6.72101502570744e-5
Andorra,2.3133852838509112e-4,4.794811894362414e-4,5.8158544798065494e-5,1.6593850218394232e-4,5.829403429087866e-5,1.8505860298052965e-4
Angola,0.016873611510653152,0.03942923412300845,0.0030041120277550615,0.013366657849658233,0.004211312808957546,0.01739780180864678
Antigua and Barbuda,1.64574322814167e-4,3.9413907193501063e-4,4.319855567007118e-5,1.403053108368064e-4,5.112884199671929e-5,2.018559563817881e-4
Argentina,0.0646648564406483,0.12744696230047536,0.01487670181004261,0.042118983837987296,0.017893921654226572,0.06645236170096765
Armenia,0.0030798889449808737,0.0070291122422487095,7.324591307843529e-4,0.002683298990480787,8.732436017300472e-4,0.0035420886227453983
Australia,0.09690934318318456,0.18128025581487306,0.02271951181115737,0.06053825287845341,0.023016049451327757,0.0682287174892467
Austria,0.022582824984699535,0.04163237385095401,0.004791965309716733,0.012448800942161732,0.004980360602600442,0.016092045214456167
Azerbaijan,0.012191106106682455,0.02568117479032741,0.002779194433569523,0.00879092416681415,0.0034238170231142336,0.014496960111825892
Bahamas,8.270032219956113e-4,0.00164014107088367,2.170935690112643e-4,6.095757614499619e-4,2.306016642269393e-4,7.490081046264306e-4
Bahrain,0.004313940311079795,0.008424030390694672,9.973649287665632e-4,0.002802598379340383,0.001088083830593105,0.003517406407846048
Bangladesh,0.13395151145130685,0.3432788585725157,0.03536106802283157,0.13332124250176872,0.05021835567683741,0.20001584709562742
Barbados,4.170723802467438e-4,9.382070804783403e-4,1.1089878822375078e-4,3.7828269429202347e-4,1.2960632931632024e-4,4.3923905208296176e-4
Belarus,0.01533689891360519,0.033657467947855874,0.0039506940857801055,0.014977187067602364,0.004465820817153048,0.016075969719268585
Belgium,0.03790456176862929,0.08525673926444054,0.010516316087639048,0.030423450875187916,0.011678513107404498,0.03903738918171242
Belize,3.9986420077471206e-4,9.310344145336098e-4,8.500890137039976e-5,2.929315810438291e-4,1.3077562599427987e-4,5.411559755517821e-4
Benin,0.005779595142084307,0.017236548569772938,0.0014446169487333659,0.007103611761098396,0.002076730318026054,0.008882696356469363
Bermuda,3.065933962357072e-4,6.692388237489042e-4,9.215290460711606e-5,2.4943810894050375e-4,9.439675624546593e-5,3.1187513514961213e-4
Bhutan,8.901720587524146e-4,0.002010814152514565,2.517092897955007e-4,8.596953865331021e-4,2.793361568659344e-4,9.79938674185099e-4
Bolivia (Plurinational State of),0.00823761605864298,0.019353139309592246,0.001901621261796887,0.00912866947689004,0.0023081439338076618,0.010090564307994944
Bosnia and Herzegovina,0.0037196400559706033,0.008467574119288085,9.46458485063783e-4,0.003339247476290945,0.0010699491346279563,0.004237687460322864
Botswana,0.002492648652610919,0.00524873849414636,2.2426134434711407e-4,6.087766483364273e-4,1.7009325523106554e-4,5.871251276501319e-4
Brazil,0.23858721106958022,0.4370603901290324,0.04721392704991211,0.13043323959938272,0.027830825071952926,0.09056275067595994
Brunei Darussalam,0.001341924564730372,0.00252066529661632,2.480005318834493e-4,7.395093871754236e-4,2.6655341658849785e-4,9.035805237323213e-4
Bulgaria,0.01007556896279985,0.020872984306428907,0.002211809325992722,0.007303449972177733,0.002453234312432246,0.008861214357216197
Burkina Faso,0.011192938275750377,0.03946337173492509,0.003375459257411037,0.022922709728613204,0.004472907555517249,0.024669861410279756
Burundi,0.0018553390523203385,0.0078684747454487,4.275676195613966e-4,0.0022080719125752136,7.307839564705032e-4,0.004711640471895837
Cabo Verde,6.585762954179873e-4,0.0018550329845289644,1.9488336815467225e-4,8.829486901429644e-4,2.6441571142193996e-4,0.0011143605579320467
Cambodia,0.008148594329417074,0.027027245606929824,0.0016503454956457496,0.007139123652872839,0.0028135153070977218,0.013074419987243005
Cameroon,0.01881706175932906,0.05520168438789157,0.005621231728477402,0.030670333568053414,0.006786813122741766,0.031528673022164465
Canada,0.16221952529378245,0.3405051802185547,0.04064677460214803,0.10840056040636872,0.04264930393794894,0.12948267769942384
Central African Republic,9.503336744586448e-4,0.006676199574418652,1.8932327431328888e-4,0.0010477082614116125,3.763630214163274e-4,0.004293090846006786
Chad,0.005103150812075667,0.016337424220880633,0.0012463046922843244,0.005413106184196557,0.00190593543590407,0.009389008721080356
Chile,0.04464856591660665,0.0836149348659543,0.01289252311048115,0.035205013044227004,0.007836136172107532,0.023504391266252592
China,0.6368273919610365,1.3565600984436772,0.1420413301021783,0.38633905625173054,0.22817007246406024,0.7178490707875755
Colombia,0.06289997449320975,0.13462478548575835,0.015715105921338398,0.05871617268837552,0.019544661497279497,0.07109198013890326
Comoros,2.6600370264120917e-4,9.566087665416619e-4,5.8770769514026496e-5,2.990605791817186e-4,8.843809554482929e-5,4.3960674016041537e-4
Congo,0.0027745489294282045,0.008393218240691705,5.980174183708527e-4,0.0032201082014717912,8.012352778994405e-4,0.003634014869013158
Cook Islands,1.6595918696746586e-5,3.626862387212365e-5,1.8132094350272873e-6,5.494824742981314e-6,2.125487970437099e-6,7.606038884906216e-6
Costa Rica,0.007317398479744762,0.015872118857048128,0.0019245035994913593,0.007017583621483273,0.002248958764455637,0.008317845333791467
Croatia,0.008697910458599994,0.018688343726695776,0.002253945049569276,0.006687728100644597,0.0025836495302038517,0.009222601939962497
Cuba,0.011573764942275034,0.028200434309168444,0.0029830245983468746,0.010156331825512222,0.004034680357852477,0.01647538925676565
Cyprus,0.002615021681414456,0.005061166134530949,5.28713667769941e-4,0.0014987729287536747,6.156522796343647e-4,0.0020654378282123458
Czechia,0.023614111002775023,0.04715060584500292,0.00613737958801064,0.018366799729451117,0.006232355623194193,0.02055700619276616
Côte d'Ivoire,0.018838260451683998,0.05056837368097934,0.004337117343432138,0.016632093553607563,0.006567350629403809,0.028938472421579448
Democratic People's Republic of Korea,0.006990043241980691,0.024300215004520204,0.0015486797188737833,0.007685247869175643,0.0027901238801315772,0.014301115026357518
Democratic Republic of the Congo,0.0170290173744243,0.10136430067787758,0.003500513223758638,0.024007217232632355,0.0066643173482169174,0.04188884293248818
Denmark,0.02581735633717558,0.059118731931732484,0.0075806170920906385,0.021086884178367755,0.008477194377575667,0.02842976982829206
Djibouti,7.46417092249313e-4,0.0019240058859551882,1.3570977063982477e-4,5.791036689273648e-4,2.3285030131058311e-4,9.844891626798857e-4
Dominica,6.94143209114367e-5,1.581827325896942e-4,1.7679478300359396e-5,6.174244631581889e-5,2.309327638273744e-5,8.982436627218999e-5
Dominican Republic,0.014900922314295902,0.030126070183194718,0.003542072621317082,0.010707989402494046,0.004428301287614958,0.016419638638922086
Ecuador,0.016235034686608515,0.03554035735783577,0.0035270167098899953,0.011862043508724702,0.004699524029099968,0.017750298508729518
Egypt,0.09338640225995726,0.20418724821554815,0.01809513857660605,0.06142640208206133,0.023768631563100637,0.09969084764551417
El Salvador,0.00577947928880692,0.015883418037491832,0.001209604615569789,0.00406963012453971,0.0019973232856073083,0.010719393703214437
Equatorial Guinea,0.0017333743670968822,0.0034506262241081925,3.28169757742748e-4,0.0010867737754057718,3.468792545708481e-4,0.0013202427823594647
Eritrea,0.0016181915565887867,0.006475226004951198,3.139110613884869e-4,0.0014415867816585087,5.056451915652656e-4,0.0026450151203564255
Estonia,0.0030840306702649115,0.005840518435580193,7.509014391316104e-4,0.0019973067630504582,8.461128125340745e-4,0.0027355920733108394
Eswatini,6.304711947182943e-4,0.0014612324579468974,8.937714681965478e-5,3.138009871924848e-4,1.1216799325976843e-4,4.5880706695786995e-4
Ethiopia,0.051972032715741925,0.19208699438451166,0.010473524628193294,0.05510795686706041,0.020765800116869182,0.11146876996447393
Fiji,4.454063463929971e-4,0.0013586720794385985,3.9680419232265114e-5,1.893103278082897e-4,4.59637736225899e-5,1.8662879977720075e-4
Finland,0.016108669610568168,0.031246570559257354,0.004167862385993679,0.01059723556993287,0.0045722657459462265,0.014496277808857073
France,0.12863851566567067,0.23534753900036662,0.024807333922973015,0.06445762738561872,0.033526381293087916,0.10111148630208971
Gabon,0.0020203154627565375,0.004424732272644507,4.2044304028644215e-4,0.0013942911829437255,4.7266599856297427e-4,0.0018895415391624684
Gambia,0.0013577207770965006,0.0047394390166857975,3.396450466731131e-4,0.0014629297288264568,6.425144951581245e-4,0.003749152277077662
Georgia,0.0041293523903700915,0.010139630205739233,9.445480488201453e-4,0.003070588390791558,0.0012738282845167902,0.006198162856896183
Germany,0.282382125777978,0.490298260633777,0.09109614056452313,0.23630157940887814,0.060194172403767766,0.17855356947476167
Ghana,0.029772996438561187,0.08850717605570171,0.00726492322561872,0.03098254641421415,0.011553760144751134,0.057512987187832244
Greece,0.016742231964026067,0.034195281323575445,0.003870863493037818,0.011788050423297147,0.0045609240397791705,0.015451104121133782
Greenland,2.3004685763167585e-4,4.3901779007194807e-4,4.8243004081822234e-5,1.3240601027576524e-4,5.2030702497035e-5,1.5315986017797197e-4
Grenada,1.398540745813411e-4,3.445874698135838e-4,3.467778326123011e-5,1.3648840587980577e-4,4.312024531879367e-5,1.654678958339197e-4
Guam,1.9537255699958092e-4,3.968969191503823e-4,2.1582056898975743e-5,5.944587478196214e-5,2.962324604015306e-5,1.0877004573656642e-4
Guatemala,0.011949961646557422,0.0337882601675203,0.002474903244912655,0.010792136320054177,0.0033067026765236695,0.01896954214932488
Guinea,0.007107767631387911,0.026560967564907893,0.0018925402704193196,0.00988785694906827,0.0030858012638152917,0.020818327110680847
Guinea-Bissau,7.672119037099306e-4,0.0029525381671303445,1.9184719140528673e-4,0.001047069139657098,3.480919517764017e-4,0.001862601724796163
Guyana,0.0011607039186575072,0.002423605935355111,2.6083837149240146e-4,8.329689188564497e-4,3.235065952909224e-4,0.001197406174743731
Haiti,0.004472465086237024,0.014418667431568843,9.678117040417951e-4,0.005569455334264847,0.0017438674751682252,0.008661520441428244
Honduras,0.005264308919753092,0.012899164843082277,0.001294486226571546,0.0056245406772243165,0.0015815710527468845,0.007026152427498855
Hungary,0.013023036844844292,0.02496260122283634,0.0020124651483310087,0.006302466533466566,0.0024138486646344015,0.008256178934602508
Iceland,8.561293633820175e-4,0.0017378843692136112,1.7514905001400638e-4,4.76354217711003e-4,1.9830308985762095e-4,7.857987458406411e-4
India,1.2834022650343202,3.4489461109736994,0.34577020564361466,1.548990108231105,0.4342041629179332,1.9682544146616863
Indonesia,0.33665773117681,0.7510554435494087,0.0783753944882837,0.2829036745026946,0.10206039855783473,0.37835578941325765
Iran (Islamic Republic of),0.12064724924035766,0.24659797567940162,0.02783448805374556,0.08239002722440297,0.03493309924669209,0.1227059484913839
Iraq,0.038832293453231026,0.0868636934222541,0.007966945754675372,0.0317083776768097,0.00930777649716537,0.03302028374012789
Ireland,0.016233978855024818,0.028234157479804886,0.0027025438225497882,0.006813358710482915,0.0027196958924828756,0.008019762193157127
Israel,0.01823010200189461,0.03486789448849096,0.0033128917143620314,0.009243012242856258,0.0037963994542668167,0.012863331103363736
Italy,0.12960358006106415,0.3097587982157267,0.014854297985076221,0.04332730320169202,0.05618044290491417,0.1920724875725199
Jamaica,0.002614876298000797,0.006638122034945602,6.532766932422419e-4,0.002266629479857403,8.754180714847865e-4,0.004119246999020157
Japan,0.1941059289674763,0.3551728186241083,0.03605283276482689,0.08559579318144805,0.0636286632627885,0.18872491571973918
Jordan,0.010528472328127704,0.027108811644525735,0.0022794092408974813,0.008685318232621381,0.00265672573263745,0.014137211261529288
Kazakhstan,0.02977222425990537,0.059322217775906023,0.006186348700379091,0.017148471765662896,0.0073927101630515855,0.027858037193809217
Kenya,0.02847346979257699,0.0853099980474699,0.006383055634185333,0.02558837780117444,0.010369388899952493,0.049964883987418635
Kiribati,1.693983343300517e-5,7.778996214637616e-5,1.3620561376132498e-6,6.111409137257843e-6,2.0445071247490893e-6,9.89810681410864e-6
Kuwait,0.016354903613548223,0.03523230937586448,0.004226868979047165,0.011662113537226203,0.004702404610343244,0.015715816794797537
Kyrgyzstan,0.002992150624413813,0.007686650637600251,5.882078518393177e-4,0.0024953777032474525,8.165589460766378e-4,0.0036905759209797523
Lao People's Democratic Republic,0.003481800487210796,0.00931761125592916,5.084256940446005e-4,0.0019544821130564895,6.401598026126832e-4,0.002846800342163008
Latvia,0.003992309916117537,0.00926541901233287,0.0010198906469748407,0.003500802200709125,0.0011265960314482259,0.003944359783301761
Lebanon,0.005099182701456347,0.01181070430265913,0.0012094987686521327,0.0044768001232522335,0.0015670951806831513,0.006416058140231773
Lesotho,4.2694324289775914e-4,0.0018525176016317552,5.888603092628309e-5,2.54820036053936e-4,1.0116056397691684e-4,6.910494832141471e-4
Liberia,0.002223689942199168,0.010270870986322267,6.46514729609243e-4,0.003614917875544765,0.0011094663706878636,0.009071501032923215
Libya,0.009103258979928846,0.018720746700919257,0.0020795754339379977,0.007639448113942702,0.002274590754851053,0.008240088344401902
