Country,Mean_total_billions,SD_total_billions,Mean_perio_billions,SD_perio_billions,Mean_replace_billions,SD_replace_billions
Afghanistan,0.06488873439726565,0.12872316431410508,0.011696150678971088,0.02744012227719925,0.020141307192142417,0.04509821598566197
Albania,0.027305133494724385,0.020833736022811813,0.006276347357925737,0.008109794411599713,0.007711796924784233,0.01076730528824246
Algeria,0.46438517782267563,0.3511488494013809,0.10126202903445665,0.12771304872961126,0.12649515017152485,0.185859027532469
American Samoa,5.542773119101074e-4,4.016402098325262e-4,1.2632141754287632e-4,1.5110368541900406e-4,1.5847084552340934e-4,2.1722686182198766e-4
Andorra,0.002334755271849494,0.0014660364342045458,5.552664551210549e-4,5.011346665849521e-4,6.123607149992519e-4,6.782048372538667e-4
Angola,0.16600991562370518,0.15128402192560267,0.029225366086381755,0.04859718473236554,0.03815485767572207,0.0628601255098671
Antigua and Barbuda,0.0016749354022580446,0.001209519086141883,4.3748806269106624e-4,4.594969593886509e-4,5.076934516343182e-4,6.605036354726565e-4
Argentina,0.6572902172859002,0.4670407637167963,0.14810400117379544,0.15674239185825586,0.1814398959756463,0.2515076025380116
Armenia,0.029125736463953673,0.0217465232249512,0.00653878603121335,0.007919014017892535,0.00805054265176944,0.010998794339388121
Australia,1.026426889144791,0.6183096541465639,0.2431081583839039,0.19993950849454262,0.24493499009996442,0.24787916885649594
Austria,0.2298664752637074,0.14469840464338563,0.05264108757146311,0.048217801261032374,0.05727972680815732,0.06337143128616184
Azerbaijan,0.1261954139213092,0.08748707918423453,0.027734979038411267,0.031013631052029093,0.03388274085743682,0.04356866893371202
Bahamas,0.008620136236216821,0.005864777559610134,0.002152486703007568,0.0021239377999891394,0.0024728539321038174,0.0028714247406170217
Bahrain,0.04337054160797999,0.02785850255570903,0.01014690119770764,0.009169135649846963,0.01097559420892884,0.0131124547736588
Bangladesh,1.3759899284546453,1.389339268548388,0.3577525709504587,0.5393144787262324,0.5151870847306741,0.8921271437331979
Barbados,0.004348679424898564,0.0035572881089593242,0.0011970284416854262,0.0015654887793915388,0.0014593699083973132,0.0020426637508128924
Belarus,0.1471265457798222,0.10948617276310604,0.03534255817551383,0.03683521476051197,0.0437135402741786,0.057349374607303716
Belgium,0.36666337195544907,0.24385156754375192,0.09902213235564886,0.08795455518659119,0.10726934687996159,0.11715225542607055
Belize,0.003654853572378259,0.0030679475870353397,8.255259253724023e-4,0.0011309114041881945,0.001077432942541968,0.0017594771899846148
Benin,0.06530520973881354,0.07526725348258437,0.013879825641566009,0.02280798870379375,0.024392533733857167,0.04907680719053875
