Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.010369765598256862,0.3157238117394572
Afghanistan,OPG,0.02747036035309546,0.12117177440436307
Afghanistan,PA,0.007171766886717916,0.024031834093426054
Afghanistan,Prophy,0.040671158454630874,0.028981184596005537
Afghanistan,Maintenance_simp,0.08095090460019497,0.42469679200787996
Afghanistan,OHI,0.008122849210912865,0.053716590052958715
Afghanistan,Consult_perio,0.0032730931757820434,0.01916492540826514
Afghanistan,RootDeb,0.0014691702342725726,0.02068041730932777
Afghanistan,Extraction,0.002015224568956026,0.01942604024520607
Afghanistan,OFD,3.939633680300022e-9,2.1398515661305884e-7
Afghanistan,GTR,0.006279249958321035,0.013983064039454731
Afghanistan,Single_implant,0.02684832563308439,0.05366186986458682
Afghanistan,Denture,1.7533984445153997e-4,0.007339065338438041
Afghanistan,Denture_repair,1.4134129967533773e-4,0.002785037318835161
Afghanistan,Maintenance_perio,0.040829460362527416,0.07293393877044052
Afghanistan,Implant_surgery,0.010246242927572927,0.03569527068431925
Afghanistan,Full_fixed,0.0024145517158287604,0.018398944589964487
Albania,Consult_simple,0.007187216043482562,0.011691580134081099
Albania,OPG,0.005914909364384184,0.008797993078863683
Albania,PA,0.0020170362697836163,0.002633403276933112
Albania,Prophy,0.012875892657520817,0.007173337323988553
Albania,Maintenance_simp,0.04678090984075511,0.03545445457434183
Albania,OHI,0.0028814266946562404,0.006091329920761485
Albania,Consult_perio,0.001502371115016619,0.0030227428228391685
Albania,RootDeb,0.003579060968871645,0.006185079447309755
Albania,Extraction,0.0031939989957361827,0.006433763409614721
Albania,OFD,5.857776723892329e-4,0.0016658043762724864
Albania,GTR,0.0017093488729000694,0.0029678658294329794
Albania,Single_implant,0.009617892403889085,0.01233328814347068
Albania,Denture,0.0010237328218490535,0.002644111765518197
Albania,Denture_repair,8.880559711111121e-4,0.001681414432837374
Albania,Maintenance_perio,0.018102989739074454,0.0172133604146292
Albania,Implant_surgery,0.002323924971966892,0.007401177713573256
Albania,Full_fixed,0.001891487733420325,0.0056053462095891115
Algeria,Consult_simple,0.12970091453532548,0.2410752469636367
Algeria,OPG,0.099054437732005,0.1390804356060612
Algeria,PA,0.03584366953177019,0.04707327995646798
Algeria,Prophy,0.22710185064503377,0.12477187765499531
Algeria,Maintenance_simp,0.794067530665649,0.5988786214422528
Algeria,OHI,0.0484953200323019,0.10092059210731598
Algeria,Consult_perio,0.023483700985956802,0.04739413175588039
Algeria,RootDeb,0.06003410193756431,0.11585653992090206
Algeria,Extraction,0.047433058828794346,0.09347453249880133
Algeria,OFD,0.011115289751140437,0.03360080096295004
Algeria,GTR,0.026357955012028415,0.0419834671530944
Algeria,Single_implant,0.1589584828380086,0.20935329393161864
Algeria,Denture,0.018746001821952924,0.05258768952987997
Algeria,Denture_repair,0.014584729334003222,0.026258205445009106
Algeria,Maintenance_perio,0.29724156815533737,0.29537369474695896
Algeria,Implant_surgery,0.03393866226897063,0.09732295032162391
Algeria,Full_fixed,0.02562300807629192,0.0701979362636375
American Samoa,Consult_simple,1.4676208221517912e-4,2.6612262995068524e-4
American Samoa,OPG,1.1047784382898453e-4,1.704292697477074e-4
American Samoa,PA,4.139812269949205e-5,5.752989851221155e-5
American Samoa,Prophy,2.5030881274697435e-4,1.3835355358137616e-4
American Samoa,Maintenance_simp,8.715792533201208e-4,6.832098583852435e-4
American Samoa,OHI,5.4708278114161934e-5,1.1210943852236095e-4
American Samoa,Consult_perio,3.11346373565148e-5,7.026124287921984e-5
American Samoa,RootDeb,6.72669585326399e-5,1.2134114760625409e-4
