Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,2.156738728275726e-4,0.011513278769701178
Afghanistan,OPG,7.872806421630667e-4,0.008607756578069945
Afghanistan,PA,1.8840441195649955e-4,0.0014144846092084148
Afghanistan,Prophy,9.849026387198873e-4,0.003410468230991797
Afghanistan,Maintenance_simp,5.060923854972435e-4,0.007901819794119847
Afghanistan,OHI,2.2692540351939729e-4,0.008139907708128672
Afghanistan,Consult_perio,1.1348995327405244e-4,0.0010835929922366453
Afghanistan,RootDeb,2.713523081106186e-4,0.008407675316160226
Afghanistan,Extraction,7.064213509904819e-5,0.0013169180425645802
Afghanistan,OFD,1.5256790789572594e-12,8.356488470585321e-11
Afghanistan,GTR,0.00031554770520888815,0.002172973362419169
Afghanistan,Single_implant,0.0013329602116350018,0.00837149695125648
Afghanistan,Denture,1.8138404153703417e-6,9.784444730289304e-5
Afghanistan,Denture_repair,4.32035780883869e-6,1.389873741840416e-4
Afghanistan,Maintenance_perio,7.728310300811887e-4,0.005456217035558433
Afghanistan,Implant_surgery,3.442203002394287e-4,0.0023873260933194784
Afghanistan,Full_fixed,2.2654663505804635e-4,0.0033976930678191303
Albania,Consult_simple,1.8070654814743794e-4,0.0013095949043167461
Albania,OPG,1.6134318279432893e-4,8.036301755118639e-4
Albania,PA,7.658519269530993e-5,3.527957640942826e-4
Albania,Prophy,3.2234160112964554e-4,9.977454607958066e-4
Albania,Maintenance_simp,3.087328315951659e-4,0.0013854331101919857
Albania,OHI,8.426814200146716e-5,5.493748554392307e-4
Albania,Consult_perio,7.584459312455861e-5,8.647555943569217e-4
Albania,RootDeb,1.9564827639610705e-4,0.0015143934435558172
Albania,Extraction,1.400355113855738e-4,8.427263759944487e-4
Albania,OFD,3.476974444866251e-5,2.5357291796668366e-4
Albania,GTR,8.408042058597693e-5,5.552526765033982e-4
Albania,Single_implant,4.7076002542350854e-4,0.002310110998986391
Albania,Denture,4.949287803617879e-5,3.8718922902138093e-4
Albania,Denture_repair,3.513170523225178e-5,1.6473638804708062e-4
Albania,Maintenance_perio,3.1065977620631507e-4,0.0013994145770282013
Albania,Implant_surgery,1.1210305525919293e-4,0.0010784934469216811
Albania,Full_fixed,7.911417891410379e-5,6.659150587575458e-4
Algeria,Consult_simple,0.003647310780872251,0.024830252829393086
Algeria,OPG,0.00369409239957443,0.019189323525273125
Algeria,PA,0.0012158578522295605,0.005928035793348159
Algeria,Prophy,0.006164599871393283,0.02111109087712002
Algeria,Maintenance_simp,0.005294385279272473,0.033366815286927795
Algeria,OHI,0.0014078539923917618,0.007906602598512768
Algeria,Consult_perio,0.0010663425860555275,0.006528976150155018
Algeria,RootDeb,0.002948557581275533,0.01862126296891292
Algeria,Extraction,0.001936070107947696,0.013210572359630482
Algeria,OFD,5.38380452266951e-4,0.005340075154154455
Algeria,GTR,0.0013108831592995134,0.008634866649187492
Algeria,Single_implant,0.006535797998815145,0.030425330344979087
Algeria,Denture,6.675679621097942e-4,0.004488683285442979
Algeria,Denture_repair,6.198407201645961e-4,0.0035027099044268595
Algeria,Maintenance_perio,0.005351537062054337,0.025580354000861474
Algeria,Implant_surgery,0.0013867962226146793,0.010943484746220476
Algeria,Full_fixed,0.0014560410120999208,0.013679356744399775
American Samoa,Consult_simple,3.177589725785895e-6,2.1065751265749882e-5
American Samoa,OPG,3.530448425260525e-6,1.7534571299611295e-5
American Samoa,PA,1.4727776872444554e-6,7.255954711828591e-6
American Samoa,Prophy,5.751341927562147e-6,1.881770005243255e-5
American Samoa,Maintenance_simp,6.611549972456536e-6,3.672307543814749e-5
American Samoa,OHI,1.4933866462106976e-6,1.0658837825923944e-5
American Samoa,Consult_perio,1.5880729916841458e-6,1.2128233294087514e-5
American Samoa,RootDeb,3.7763083008823553e-6,2.506194026597742e-5
American Samoa,Extraction,3.1661174485570316e-6,1.954339102399616e-5
American Samoa,OFD,6.48187110181654e-7,7.352216403072988e-6
American Samoa,GTR,1.7023859187965053e-6,9.842100925968222e-6
American Samoa,Single_implant,9.902711636919944e-6,5.952649824361881e-5
American Samoa,Denture,1.0348878203501654e-6,9.636781297586932e-6
American Samoa,Denture_repair,9.650252739615782e-7,5.634368796434065e-6
American Samoa,Maintenance_perio,6.4218992541295295e-6,2.763972829869284e-5
American Samoa,Implant_surgery,1.6162939086452634e-6,1.4083320192951934e-5
American Samoa,Full_fixed,1.933017983502581e-6,1.5117758259825411e-5
Andorra,Consult_simple,1.5578631132250366e-5,5.7868832729499846e-5
Andorra,OPG,1.2540406363272044e-5,3.869944947253795e-5
Andorra,PA,6.564646352515535e-6,2.423539855160078e-5
Andorra,Prophy,2.2790767561932518e-5,7.508347461953138e-5
Andorra,Maintenance_simp,3.0258965833785034e-5,1.1636288081570975e-4
Andorra,OHI,5.530263337291422e-6,2.0709661469090654e-5
Andorra,Consult_perio,6.039278326150652e-6,2.6655756909831966e-5
Andorra,RootDeb,1.978250253597187e-5,7.657978762275682e-5
Andorra,Extraction,1.7433939331627506e-5,8.187621525890289e-5
Andorra,OFD,4.3638063288169765e-6,2.4697746318261342e-5
Andorra,GTR,5.639048213115713e-6,3.753296754728398e-5
Andorra,Single_implant,3.714125875844117e-5,1.4572229472497152e-4
Andorra,Denture,5.777000095303787e-6,2.0454711968301126e-5
Andorra,Denture_repair,4.874922253436834e-6,1.6060074372885372e-5
Andorra,Maintenance_perio,2.6522238777482813e-5,1.0825492701518853e-4
Andorra,Implant_surgery,3.607964807786633e-6,3.4440223667730207e-5
Andorra,Full_fixed,6.892888375910233e-6,4.174552726696346e-5
Angola,Consult_simple,0.0011902511646249149,0.011749945849870524
Angola,OPG,0.001239778868845959,0.007879779016744234
Angola,PA,4.262631470420512e-4,0.0022755965474169286
Angola,Prophy,0.0031121785237436576,0.011503504892421032
Angola,Maintenance_simp,0.0021202003357119093,0.014510250477086525
