Country,Procedure,Mean_total_billions,SD_total_billions
Afghanistan,Consult_simple,0.0032818543227989662,0.08477375469421243
Afghanistan,OPG,0.007298965235961945,0.04172532410834414
Afghanistan,PA,0.0022366004961889823,0.009351680301457806
Afghanistan,Prophy,0.010366305208026498,0.01317092490793329
Afghanistan,Maintenance_simp,0.00463834856456038,0.03606164151738576
Afghanistan,OHI,0.0027677374857592967,0.04721591792823386
Afghanistan,Consult_perio,0.0013921380309072776,0.006050060432348318
Afghanistan,RootDeb,4.972425797131554e-4,0.006252843643259243
Afghanistan,Extraction,0.0013509260004143275,0.018477719805332908
Afghanistan,OFD,3.1304477087357234e-4,0.017146168171380267
Afghanistan,GTR,0.003222020856222483,0.007293650716107371
Afghanistan,Single_implant,0.014160807064402876,0.03752071043828984
Afghanistan,Denture,1.4924523602429418e-4,0.004957845795461584
Afghanistan,Denture_repair,1.701915723392589e-4,0.006209571304625801
Afghanistan,Maintenance_perio,0.007382243653696357,0.018735321418940975
Afghanistan,Implant_surgery,0.0041181882302590515,0.017107538695730264
Afghanistan,Full_fixed,0.0015428750891169343,0.015440893981417207
Albania,Consult_simple,0.0017478882626473808,0.00434710057162547
Albania,OPG,0.0016914895864970445,0.0034019931321040784
Albania,PA,7.383857322208806e-4,0.001367016772109564
Albania,Prophy,0.0032009070547537864,0.0034973330023205396
Albania,Maintenance_simp,0.0030273613101414643,0.004488871542866847
Albania,OHI,8.319907749504041e-4,0.002414202548229759
Albania,Consult_perio,6.877729521014464e-4,0.0017024334543802643
Albania,RootDeb,0.0018208163017809768,0.004482657630546933
Albania,Extraction,0.0015712742845689766,0.004450644051590583
Albania,OFD,3.179434252652763e-4,0.0011401097470511027
Albania,GTR,7.843948815404856e-4,0.0016558197762908996
Albania,Single_implant,0.004904928713476383,0.008038466564190688
Albania,Denture,5.382261564809948e-4,0.0021931288460601134
Albania,Denture_repair,4.643503809512205e-4,0.001496317477334917
Albania,Maintenance_perio,0.00317311200347203,0.005914947760422677
Albania,Implant_surgery,9.853939487508396e-4,0.003340058723480113
Albania,Full_fixed,8.188977251247949e-4,0.0030244235960674823
Algeria,Consult_simple,0.033042427274322814,0.08049904773671682
Algeria,OPG,0.030936171033632876,0.07203244008461707
Algeria,PA,0.012665622076087272,0.025407788617188072
Algeria,Prophy,0.056929759609690225,0.061469106391623035
Algeria,Maintenance_simp,0.057288520974650516,0.095516112295826
Algeria,OHI,0.013215066585862837,0.033661077134550466
Algeria,Consult_perio,0.011867230388591587,0.03335377855907786
Algeria,RootDeb,0.02915281484676935,0.07342165491346261
Algeria,Extraction,0.023937697795810828,0.0573507781351489
Algeria,OFD,0.005361922879575962,0.01925011634950713
Algeria,GTR,0.013219203355369306,0.02896331874121049
Algeria,Single_implant,0.0781664053938952,0.13995680297692853
Algeria,Denture,0.008939688884460879,0.03574530324206689
Algeria,Denture_repair,0.007312515208658449,0.017835219322774015
Algeria,Maintenance_perio,0.050273590830787196,0.08642638331443132
Algeria,Implant_surgery,0.017213938218832884,0.06038276554441934
Algeria,Full_fixed,0.014862602465677425,0.05588064952269156
American Samoa,Consult_simple,3.384302237982024e-5,9.232443040357711e-5
American Samoa,OPG,3.569924102346272e-5,6.961918447793016e-5
American Samoa,PA,1.5525100458667238e-5,2.9489254214483538e-5
American Samoa,Prophy,6.178531432084351e-5,6.497109081132162e-5
American Samoa,Maintenance_simp,6.513638705855976e-5,1.1152571646283112e-4
American Samoa,OHI,1.4849789172667695e-5,3.3011949768309247e-5
American Samoa,Consult_perio,1.453719121419848e-5,3.516497709810973e-5
American Samoa,RootDeb,3.840856060497315e-5,9.370143084272608e-5
American Samoa,Extraction,3.185020503088136e-5,7.684129941695021e-5
American Samoa,OFD,6.998155951717448e-6,3.156364880870644e-5
American Samoa,GTR,1.6587305465763285e-5,3.388567783667973e-5
American Samoa,Single_implant,1.0112215891933731e-4,1.782433791657771e-4
American Samoa,Denture,1.0848138207211826e-5,3.472329798842443e-5
American Samoa,Denture_repair,8.825433383493239e-6,1.967682392808841e-5
American Samoa,Maintenance_perio,6.0586193705143206e-5,9.974175701323495e-5
American Samoa,Implant_surgery,2.0927411031578112e-5,7.242248522427983e-5
American Samoa,Full_fixed,1.6747703981788863e-5,5.829462138130993e-5
Andorra,Consult_simple,1.5848417199377965e-4,2.107129793186799e-4
Andorra,OPG,1.302437907110818e-4,1.4809353423340648e-4
Andorra,PA,6.361131578361276e-5,7.799272552607938e-5
Andorra,Prophy,0.00025375395659399147,2.785800813075305e-4
Andorra,Maintenance_simp,2.8655730104206687e-4,3.612484414573921e-4
Andorra,OHI,6.513807947267806e-5,8.942324714044486e-5
Andorra,Consult_perio,6.351934273448783e-5,1.0237520659400317e-4
Andorra,RootDeb,2.0591286748714718e-4,2.798098872558852e-4
Andorra,Extraction,1.6475584419537055e-4,2.2614053874128108e-4
Andorra,OFD,4.034924509747854e-5,7.979411260860875e-5
Andorra,GTR,4.714405461269554e-5,8.721469949972179e-5
Andorra,Single_implant,3.619280637687446e-4,4.998127963433912e-4
Andorra,Denture,6.32179279006425e-5,9.616712723374405e-5
Andorra,Denture_repair,5.529230448851984e-5,6.853092207118833e-5
Andorra,Maintenance_perio,2.42924587125852e-4,3.177756572811064e-4
Andorra,Implant_surgery,4.7746654998183716e-5,1.8246417921536314e-4
Andorra,Full_fixed,8.417576384316123e-5,1.9694031587364345e-4
Angola,Consult_simple,0.012273355056865451,0.05468478649613983
Angola,OPG,0.014894780859378867,0.047740941764448895
Angola,PA,0.005007965979198887,0.013346407503378765
Angola,Prophy,0.026278853785626086,0.03004369571596108
Angola,Maintenance_simp,0.026088499140072843,0.06384870944836059
Angola,OHI,0.005543517063426489,0.02065740345944063
Angola,Consult_perio,0.0038148222462179395,0.014558731157857998
Angola,RootDeb,0.005901709425528023,0.02770820103939494
Angola,Extraction,0.00559678511473731,0.025099524714515393
Angola,OFD,9.651410261452929e-4,0.007539899288378009
Angola,GTR,0.005078106047294406,0.013280521423561424
Angola,Single_implant,0.024769749865857456,0.05161608140567762
Angola,Denture,0.0016280075589493177,0.011133987769969387
Angola,Denture_repair,0.0013673316515125245,0.006752069899990401
Angola,Maintenance_perio,0.016411522203491527,0.033574644304268986
Angola,Implant_surgery,0.006641869084806682,0.022772090435166006
Angola,Full_fixed,0.0037478995145960887,0.01692841312547632
Antigua and Barbuda,Consult_simple,9.219411862966317e-5,1.6475499224597977e-4
Antigua and Barbuda,OPG,8.960411400336861e-5,1.4100700463448189e-4
Antigua and Barbuda,PA,4.6065327205926125e-5,7.281855442177214e-5
Antigua and Barbuda,Prophy,1.522227550043782e-4,1.6275764138466746e-4
Antigua and Barbuda,Maintenance_simp,0.00015607980751075073,2.1802179985745676e-4
Antigua and Barbuda,OHI,4.275135184778853e-5,7.65806091356671e-5
Antigua and Barbuda,Consult_perio,4.9235295452061815e-5,1.0209356857514661e-4
Antigua and Barbuda,RootDeb,1.4554226140555426e-4,2.4758109841718594e-4
