Country,Pop,Edent_prev,Edent_prev_sd,Perio_prev,Perio_prev_sd,Prophy,Prophy_sd,Consult_simple,Consult_perio,OPG,PA,RootDeb,OHI,Extraction,OFD,GTR,Single_implant,Implant_surgery,Full_fixed,Denture,Denture_repair,Maintenance_simp,Maintenance_perio,Consult_simple_sd,Consult_perio_sd,OPG_sd,PA_sd,RootDeb_sd,OHI_sd,Extraction_sd,OFD_sd,GTR_sd,Single_implant_sd,Implant_surgery_sd,Full_fixed_sd,Denture_sd,Denture_repair_sd,Maintenance_simp_sd,Maintenance_perio_sd
Malaysia,31812225.57,0.045276908,0.004944058,0.038830296,0.007406627,31.933755474921856,4.767109440782505,24.50181039184344,50.96475066143369,35.67738958703012,8.121767550790466,66.42395551781995,14.859305209598045,36.57918254534483,163.35099323689766,269.9747174894687,1088.8905469375666,1064.9272075553342,6611.249940226031,277.9484197618879,46.10696514015247,43.18093766791553,67.55726088119866,28.118060698724555,59.75240312382486,43.959652613938175,8.701669305545835,57.97750221464483,16.85647439882645,43.04636741844654,218.4947354245297,272.2451781958519,780.5086409970281,1485.5648132476908,6694.406051174455,414.2749409843228,44.501506899192904,21.73638724210794,46.31419151149019
Maldives,517207.7095,0.022343715,0.002437676,0.189818822,0.028414728,23.157314233446073,3.983008475543054,16.934570466945853,39.71880251346752,27.059687126576225,6.171179537145407,46.18202945280888,10.873487455997438,25.91410753425319,110.56402981835188,243.9599436297567,897.6257980641324,1060.0249649913746,4990.283759198113,190.5348351372761,30.832269432431257,30.296366888326403,54.62265049957881,28.02721365608294,59.65806249717633,43.8843482962547,8.682173808896867,57.66189505698221,16.814447352959437,42.92852403928247,217.92601744218825,272.13444260015183,778.418415845039,1485.5640927757142,6676.902628174898,413.4526615718321,44.267389706485666,21.39353242403548,46.15302756220085
Mali,24104148.77,0.008839413,0.00103038,0.135615881,0.024279328,6.177973982242787,2.6549505213614366,2.294611295326012,17.96183123115329,10.387450825581665,2.397474835850211,7.02099133484272,3.1623259549273985,5.280922347283225,8.439741846636768,193.6304667075273,527.5954908097873,1050.5408424185443,1854.2818688990628,21.42016153763157,1.2810825083584092,5.369234667183852,29.5987091726111,27.91005119811599,59.53662580054304,43.78740048363499,8.6570598084368,57.25382104825011,16.760292558597396,42.776631804004666,217.19309183326183,271.99209344382984,775.7244404411888,1485.5631670484972,6654.34508468021,412.393716862304,43.96474502848672,20.944765113546143,45.945119896762826
Malta,442219.1095,0.074753958,0.009117127,0.098493809,0.019721375,51.12430382196041,8.743942953871672,41.04832162991883,75.55511772524181,54.52084004234527,12.386919284970476,110.68490937141806,23.574686102422778,59.89941360413912,278.77485875424003,326.8585684440874,1507.1096529909248,1075.646441051479,10155.6512539298,469.0867839087298,79.50658332252587,71.35431360394215,95.84005330798908,28.81962085712354,60.48613628997252,44.54499048618521,8.852862257459645,60.39214561314524,17.182051475926627,43.95832542279032,222.89843255228763,273.11084285286944,796.6884573816196,1485.5704555565696,6829.93172899825,420.65897870027425,46.29405250927465,24.25440456441674,47.55745154336067
Marshall Islands,56273.10085,0.019012093,0.002557861,0.106261183,0.015545973,11.158997673181384,3.291407061653271,6.589359052857077,24.344410754088393,15.278383144951093,3.5045209425695605,18.509191449892263,5.424456140978739,11.333830335185604,38.398709055112334,208.3950166366334,636.1468066754649,1053.3230847509392,2774.252814725465,71.031287954954,9.950156806090934,12.681805962871904,36.93968018480636,27.96041002765156,59.58878976631723,43.82904714831272,8.667850343684645,57.42936537310501,16.78356300805459,42.841906205344,217.5080446237244,272.0532140872875,776.8821278943059,1485.563564469937,6664.038554530654,412.8486621950837,44.094927030837155,21.138591285025935,46.034491183388745
Mauritania,4396234.461,0.018647797,0.002134127,0.148670251,0.019042864,10.146834120750878,3.196305936794671,5.716649462062806,23.047445558890363,14.284526512613471,3.2795648312144117,16.174744123204285,4.964782413801071,10.103855689067064,32.31092940209774,205.394802176006,614.0887534910387,1052.7577221954464,2587.3111098798413,60.95011246366179,8.18856690371014,11.195862791489343,35.44796607962956,27.95220640687758,59.5802887870621,43.82226034948894,8.666092119960727,57.400783668654306,16.77977151593991,42.83127155202287,217.4567301763313,272.04325075556716,776.6935121896825,1485.563499679822,6662.459226800359,412.7745283782023,44.07373018252089,21.107113966365105,46.01993315974657
Mauritius,1271963.562,0.074773608,0.008615503,0.093259588,0.016802627,26.272966860706703,4.196014081658276,19.620954424226717,43.71113459080913,30.118987197426893,6.863641835040811,53.36795007713045,12.288460018805775,29.70022858992745,129.30349798488717,253.1952357366031,965.5251323083684,1061.7652700311542,5565.729706098913,221.56681690533776,36.25481423196389,34.870412984691775,59.214460745813646,28.05030991936951,59.68203212640877,43.90348222774981,8.68712835954574,57.74219920748712,16.825129041163354,42.95847811513136,218.07057000981507,272.162565474318,778.949708887001,1485.5642757220508,6681.3515394659225,413.6616142221013,44.326955190357936,21.48111040661073,46.19400448119797
Mexico,129275998.6,0.065855765,0.007313507,0.01964157,0.003814253,24.637333920306293,4.0769637472802245,18.210675867289176,41.61526876880366,28.51293781738024,6.500117950987373,49.59553707530712,11.545637884771224,27.71261794911953,119.46578656911902,248.34695841197112,929.8798274533224,1060.851657189818,5263.636225607669,205.27586998088117,33.40812560650225,32.469163114707705,56.803885180008905,28.03725530639722,59.66848262114572,43.89266631670196,8.684327763576322,57.69681480305904,16.819091223580305,42.94154682235397,217.98886225904337,272.14666719986496,778.6493989102936,1485.5641722974756,6678.836812098809,413.5435005342157,44.29329103184496,21.431644143924093,46.17084357415806
Micronesia,102577.7687,0.022303592,0.002933505,0.093132479,0.016269751,7.778600292432249,2.9125788767097935,3.67470636872167,20.012840289767375,11.95912673749918,2.7532184008188616,10.712665276149536,3.889249839962217,7.225993155964094,18.06690166666029,198.37497878797072,562.4778971103985,1051.4349016631645,2149.9097943751913,37.362441508345455,4.066844887120194,7.719091792398402,31.95769240046316,27.929147756677914,59.55640119251509,43.80318912724497,8.661150976890065,57.32041518268019,16.769115802103663,42.80138235690651,217.31251188601829,272.0152596342081,776.1634043541053,1485.5633176702624,6658.0205468046415,412.5661990665989,44.01412900028138,21.01843510015415,45.97901183818575
Monaco,37863.45034,0.093050258,0.012107239,0.171172656,0.01921101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
